# Appendix

Latter-day Saint Women Speakers in General Conference

This table contains the names of all the women who have spoken in the semiannual general conference of the Church of Jesus Christ of Latter-day Saints, or in special meetings that occurred in conjunction with general conference. For example, Aaronic Priesthood meetings, also called bishop’s conferences, were held from 1921 through 1963 and attended by male ward and stake leaders who oversaw the daily workings of their congregations, including the Aaronic Priesthood and Young Women. Welfare sessions, sometimes called agricultural meetings, began in 1937 and trained male and female stake and ward welfare workers on resources and procedures. Welfare sessions were discontinued in 1982. Other special sessions or meetings discussed missionary work, the Indian Placement Program, and genealogical work. On occasion, women spoke at these meetings.

The table does not include women’s speeches from Relief Society general conferences or women’s meetings, MIA June conferences, Young Women meetings and firesides, Primary conferences, or Sunday School conferences. Women spoke regularly at these auxiliary conferences and meetings, and their words were recorded in the Woman’s Exponent, Relief Society Magazine, Young Woman’s Journal, Improvement Era, Children’s Friend, Ensign, New Era, Liahona, Deseret News, and elsewhere. Auxiliary conferences ended in 1975, replaced by various iterations of a general women’s meeting and by training conducted on a regional and stake level. Beginning in the fall of 2014, the general women’s meeting was recognized as a session of general conference; it is included on this table from that date.

Sources for information in this table include official Conference Reports, the Deseret News, and audiovisual collections of welfare sessions at the Church History Library in Salt Lake City.

  Date             Speaker                    Session
  ---------------- -------------------------- ----------------------------
  Apr. 4, 1998     Anne G. Wirthlin           general session
  Apr. 5, 1998     Margaret D. Nadauld        general session
  Oct. 3, 1998     Virginia U. Jensen         general session
  Oct. 4, 1998     Susan L. Warner            general session
  Apr. 3, 1999     Carol B. Thomas            general session
  Apr. 4, 1999     Sheri L. Dew               general session
  Oct. 2, 1999     Sharon G. Larsen           general session
  Oct. 3, 1999     Patricia P. Pinegar        general session
  Apr. 1, 2000     Coleen K. Menlove          general session
  Apr. 2, 2000     Mary Ellen W. Smoot        general session
  Oct. 7, 2000     Margaret D. Nadauld        general session
  Oct. 8, 2000     Virginia U. Jensen         general session
  Mar. 31, 2001    Sydney S. Reynolds         general session
  Apr. 1, 2001     Carol B. Thomas            general session
  Oct. 6, 2001     Sheri L. Dew               general session
  Oct. 7, 2001     Sharon G. Larsen           general session
  Apr. 6, 2002     Mary Ellen W. Smoot        general session
  Apr. 7, 2002     Gayle M. Clegg             general session
  Apr. 7, 2002     Bonnie D. Parkin           general session
  Oct. 5, 2002     Coleen K. Menlove          general session
  Oct. 6, 2002     Margaret D. Nadauld        general session
  Apr. 5, 2003     Kathleen H. Hughes         general session
  Apr. 6, 2003     Susan W. Tanner            general session
  Oct. 4, 2003     Anne C. Pingree            general session
  Oct. 5, 2003     Sydney S. Reynolds         general session
  Apr. 3, 2004     Gayle M. Clegg             general session
  Apr. 4, 2004     Julie B. Beck              general session
  Oct. 2, 2004     Bonnie D. Parkin           general session
  Oct. 3, 2004     Elaine S. Dalton           general session
  Apr. 2, 2005     Coleen K. Menlove          general session
  Apr. 3, 2005     Kathleen H. Hughes         general session
  Oct. 1, 2005     Susan W. Tanner            general session
  Oct. 2, 2005     Cheryl C. Lant             general session
  Apr. 1, 2006     Julie B. Beck              general session
  Apr. 2, 2006     Anne C. Pingree            general session
  Sept. 30, 2006   Elaine S. Dalton           general session
  Oct. 1, 2006     Margaret S. Lifferth       general session
  Mar. 31, 2007    Bonnie D. Parkin           general session
  Apr. 1, 2007     Vicki F. Matsumori         general session
  Oct. 6, 2007     Mary N. Cook               general session
  Oct. 7, 2007     Julie B. Beck              general session
  Apr. 5, 2008     Cheryl C. Lant             general session
  Apr. 6, 2008     Susan W. Tanner            general session
  Oct. 4, 2008     Silvia H. Allred           general session
  Oct. 5, 2008     Elaine S. Dalton           general session
  Apr. 4, 2009     Margaret S. Lifferth       general session
  Apr. 5, 2009     Barbara Thompson           general session
  Oct. 3, 2009     Vicki F. Matsumori         general session
  Oct. 4, 2009     Ann M. Dibb                general session
  Apr. 3, 2010     Julie B. Beck              general session
  Apr. 4, 2010     Cheryl C. Lant             general session
  Oct. 2, 2010     Rosemary M. Wixom          general session
  Oct. 3, 2010     Mary N. Cook               general session
  Apr. 2, 2011     Jean A. Stevens            general session
  Apr. 3, 2011     Silvia H. Allred           general session
  Oct. 1, 2011     Barbara Thompson           general session
  Oct. 2, 2011     Elaine S. Dalton           general session
  Mar. 31, 2012    Cheryl A. Esplin           general session
  Apr. 1, 2012     Julie B. Beck              general session
  Oct. 6, 2012     Ann M. Dibb                general session
  Oct. 7, 2012     Linda K. Burton            general session
  Apr. 6, 2013     Elaine S. Dalton           general session
  Apr. 7, 2013     Rosemary M. Wixom          general session
  Oct. 5, 2013     Carole M. Stephens         general session
  Oct. 6, 2013     Bonnie L. Oscarson         general session
  Apr. 5, 2014     Linda S. Reeves            general session
  Apr. 6, 2014     Jean A. Stevens            general session
  Sept. 27, 2014   Linda K. Burton            general women’s session
  Sept. 27, 2014   Jean A. Stevens            general women’s session
  Sept. 27, 2014   Neill F. Marriott          general women’s session
  Oct. 4, 2014     Cheryl A. Esplin           general session
  Oct. 5, 2014     Carol F. McConkie          general session
  Mar. 28, 2015    Cheryl A. Esplin           general women’s session
  Mar. 28, 2015    Carole M. Stephens         general women’s session
  Mar. 28, 2015    Bonnie L. Oscarson         general women’s session
  Apr. 4, 2015     Linda K. Burton            general session
  Apr. 5, 2015     Rosemary M. Wixom          general session
  Sept. 26, 2015   Rosemary M. Wixom          general women’s session
  Sept. 26, 2015   Linda S. Reeves            general women’s session
  Sept. 26, 2015   Carol F. McConkie          general women’s session
  Oct. 3, 2015     Neill F. Marriott          general session
  Oct. 4, 2015     Carole M. Stephens         general session
  Mar. 26, 2016    Cheryl A. Esplin           general women’s session
  Mar. 26, 2016    Neill F. Marriott          general women’s session
  Mar. 26, 2016    Linda K. Burton            general women’s session
  Apr. 2, 2016     Mary R. Durham             general session
  Apr. 3, 2016     Bonnie L. Oscarson         general session
  Sept. 24, 2016   Jean B. Bingham            general women’s session
  Sept. 24, 2016   Carole M. Stephens         general women’s session
  Sept. 24, 2016   Bonnie L. Oscarson         general women’s session
  Oct. 1, 2016     Carol F. McConkie          general session
  Oct. 2, 2016     Linda S. Reeves            general session
