The Church has called the following new mission presidents, who will begin serving in their assigned areas this month.

  Philippines Naga                            L. Barry Reeder
  Philippines Quezon City                     Carlos Revillo
  Philippines Urdaneta                        William J. Monahan
  Poland Warsaw                               Steven C. Edgren
  Puerto Rico San Juan                        P. Knox Smartt III
  Russia Moscow                               Garry E. Borders
  Russia Samara                               Michael L. Schwab
  Russia Yekaterinburg                        Val J. Christensen
  Sierra Leone Freetown                       David B. Ostler
  South Africa Durban                         John A. Zackrison
  Taiwan Taichung                             Kurt L. Blickenstaff
  Texas Fort Worth                            Rodney A. Ames
  Texas McAllen                               Fernando Maluenda
  Texas San Antonio                           James E. Slaughter
  Tonga Nuku‘alofa                            Leitoni M. Tupou
  Uganda Kampala                              Robert F. Chatfield
  Ukraine L’viv                               Daniel E. Lattin
  Uruguay Montevideo West                     Thomas A. Smith
  Utah Salt Lake City                         Stephen W. Hansen
  Utah Salt Lake City East                    John C. Eberhardt
  Utah Salt Lake City South                   Robert E. Chambers
  Utah St. George                             John R. Center
  Venezuela Valencia                          Guillermo I. Guardia
  Virginia Chesapeake                         Alan J. Baker
  Virginia Richmond                           E. Bradley Wilson
  Washington DC North                         Peter S. Cooke
  Washington Everett                          Mark Bonham
  Washington Federal Way                      Robert I. Eaton
  Washington Kennewick                        Boyd S. Ware
  Washington Seattle                          Yoon Hwan Choi
  Washington Vancouver                        Derlin C. Taylor
  Wisconsin Milwaukee                         Raymond A. Cutler
  Zambia Lusaka                               Leif J. Erickson
