name,cat,reason,degree,fam,cooc,mentions
Autobiography of P. P. Pratt,1,clean,90,0,45,2
"the Book of Mormon , View of the Hebrews",1,clean,39,0,18,1
the Level of Narrative Technique,1,clean,18,0,5,2
Chapter 3 # Adversity,1,clean,16,0,6,1
Isaiah 4:5,1,clean,304,0,85,127
Emerging Infectious Diseases,1,clean,74,0,29,1
The Book of Mormon and the,1,clean,71,0,21,24
"Smith, Mercy Josephine",1,clean,79,0,24,1
the Book of Mormon Closer,1,clean,42,0,14,3
Section 68,1,clean,171,0,85,11
Debhir,1,clean,145,0,87,1
Heathen in Our Fair Land,1,clean,93,0,58,1
He Invites Us to Follow Him,1,clean,70,0,26,8
Being in the Church,1,clean,48,0,26,1
"The Real Face of Jesus,”Popular",1,clean,71,0,26,1
Bible Student,1,clean,80,0,37,2
The Crown of Ionia,1,clean,53,0,44,1
Journal of Book of Mormon Studies 5/1,1,clean,245,0,99,19
The Explanatory Introduction,1,clean,31,0,10,2
Great Are the Words of Isaiah” - The Savior,1,clean,42,0,10,10
Jonah the Prophet,1,clean,113,0,23,34
New Testament Solomon,1,clean,0,0,0,0
The Apocalypse Attributed to St. John,1,clean,181,0,87,5
Eshbaal,1,clean,27,0,0,1
There Is Hope Smiling Brightly,1,clean,10,0,3,1
A Testimony of Prophets,1,clean,39,0,19,1
Cousin,1,clean,32,0,13,1
The Mosaic of Christian Belief,1,clean,160,0,70,2
Hammurabi,1,clean,3,0,0,3
Tabernacle on Temple Square,1,clean,136,0,81,9
Recognizing the Promptings of the Holy Ghost,1,clean,23,0,9,2
Le 2:1-16a,1,clean,34,0,21,1
Crucifixion 29,1,clean,30,0,14,3
the ‘Ladder of Tyre’,1,clean,58,0,29,9
Transgender: Understanding Yourself,1,clean,28,0,6,3
Woman’s Exponent 4,1,clean,102,0,49,1
>Sacred Mending</cite>,5,html_fragment,88,0,36,3
the Holy Spirit,1,clean,621,0,209,163
"McKay, David O.",1,clean,139,0,68,4
Twelve Apostles and of Seventies,1,clean,72,0,32,2
Avoid,1,clean,11,0,4,1
Numbers 28:1–8,1,clean,145,0,67,25
Exodus 29:15-18,1,clean,47,0,20,20
Declare,1,clean,34,0,0,1
Thoughts on the Sacrament,1,clean,19,0,7,1
the Fiery Furnace: Or,1,clean,114,0,38,2
the Book of Daniel (,1,clean,70,0,14,19
North of the Wady,1,clean,64,0,25,1
Bible Translation > And,1,clean,35,0,13,13
Map 8,1,clean,51,0,27,1
The Reading Process,1,clean,29,0,12,2
God and Man’s Story Retold,1,clean,61,0,30,1
Document 62,1,clean,49,0,30,1
The Savior Taught His Disciples,1,clean,27,0,6,5
The Little Giant,1,clean,50,0,20,1
Nephi 23:1,3,scripture_ref,321,0,99,97
The Decision of Judge,1,clean,34,0,18,1
Genesis 14:1-24,1,clean,99,0,23,64
Scenes and Incidents,1,clean,135,0,71,11
Isaiah 53:4,1,clean,203,0,45,81
The Dark Way,1,clean,176,0,64,9
Death of Jesus,1,clean,21,0,6,2
"the Honorable Men of the World,”EMS1",1,clean,73,0,28,2
section 1 of the August 8 City Ordinance,1,clean,27,0,15,1
Other” Twin [Salt Lake City: Eborn Books,1,clean,90,0,34,1
Visitors Welcome,1,clean,28,0,10,4
