name,cat,reason,degree,fam,cooc,mentions
THE SETTLEMENT IN THE WEST,1,clean,3,0,0,1
"Cuando sientas que no eres bueno en nada, recuerda tu capacidad para servir",4,spanish_verb,2,0,0,1
"¡Si elijo obedecer, feliz todo el día seré!",4,spanish_verb,1,0,0,1
Lesson 87: 2 Kings 21–23—King Josiah and the Book of the Law,1,clean,14,0,0,1
La Conferencia General de octubre 2020 de la Iglesia de Jesucristo será virtual,1,clean,1,0,0,1
"Parte 3: Su propia senda, 1979–1997",1,clean,2,0,0,1
Birth Control,1,clean,7,0,0,2
"Lesson 114: Isaiah 1—“Though Your Sins Be as Scarlet, They Shall Be as White as Snow”",5,overlong,13,0,0,1
2 Nefi 9:27–49: “Ser de mente espiritual es vida eterna”,3,scripture_ref,23,0,0,2
Put God’s Laws First,1,clean,1,0,0,1
CHARACTER SKETCH,1,clean,3,0,0,1
Diario de ayunos,1,clean,2,0,0,1
Welfare,1,clean,10,0,0,1
Milenio,1,clean,24,0,0,2
Seamos honrados,4,spanish_verb,1,0,0,1
Palabras que conmueven el corazón,1,clean,2,0,0,1
"Si Peterson: A Typical, but Unique Latter-day Saint",1,clean,2,0,0,1
"When You Save a Girl, You Save Generations",1,clean,4,0,0,2
Estar en el mundo sin ser del mundo,1,clean,1,0,0,1
2: Healthy Thinking Patterns,1,clean,2,0,0,1
I Feel My Savior’s Love,1,clean,4,0,0,1
Vendrá el día,4,spanish_verb,6,0,0,1
“That They Might Come Again unto the Remnant of the House of Jacob”:Onomastic Allusions to Joseph in 3 Nephi 26:8–10 and 4 Nephi 1:49,5,overlong,2,0,0,1
My Best Workday Ever!,1,clean,2,0,0,1
A New Approach,1,clean,2,0,0,1
Hijos de nuestro Padre,1,clean,5,0,0,1
Cómo crear un plan de seguridad para la prevención de suicidios,1,clean,2,0,0,1
Himnos de La Iglesia de Jesucristo de los Santos de los Últimos Días (1992),4,spanish_verb,1,0,0,1
St. Luke 2:7–14,1,clean,1,0,0,1
"Joseph Smith Jr.—Prophet of God, Mighty Servant",1,clean,2,0,0,1
Standing Up for Church,1,clean,2,0,0,1
Nunca es demasiado tarde,4,spanish_verb,3,0,0,2
Latter-day Saint Men and Divorce,1,clean,2,0,0,1
My Book of Mormon Answer,1,clean,2,0,0,1
Sharing Time: ‘The Heart of the Children’,1,clean,2,0,0,1
El Programa Inspirado De Bienestar De La Iglesia,4,spanish_verb,3,0,0,1
El Espíritu compensó la diferencia,1,clean,2,0,0,1
East Wind to Hawaiʻi: History and Contributions of Chinese and Japanese Latter-day Saints in Hawaiʻi,5,overlong,2,0,0,1
"Matthew 26:36–46; Luke 22:39–46, Part 2",1,clean,14,0,0,2
November 21–27. Jonah; Micah: “He Delighteth in Mercy”,1,clean,34,0,0,1
Section 92,1,clean,2,0,0,1
Chinese Triple Combination Completed,1,clean,1,0,0,1
Chart 43: Consistent Elements in Nephite Declarations of Faith,1,clean,2,0,0,1
Chapter 13: The Priesthood,1,clean,18,0,0,1
Removal of the Church in New York to Ohio,1,clean,3,0,0,1
Two Things That Faith Cannot Do,1,clean,1,0,0,1
Doctrine over Custom,1,clean,2,0,0,1
Educación académica,1,clean,2,0,0,1
Chapter 17: Sharing the Gospel,1,clean,14,0,0,1
La fe de la familia,1,clean,1,0,0,1
Dios los conoce y los ama,1,clean,25,0,0,1
Hungary: Church Chronology,1,clean,2,0,0,1
38 Mine Own Due Time and Way,1,clean,2,0,0,1
How Does Repentance Turn Sorrow to Joy?,1,clean,1,0,0,1
Reunión semanal de coordinación,1,clean,2,0,0,1
The Secret of Cebu,1,clean,2,0,0,1
Recursos históricos de Doctrina y Convenios: Noah Packard,1,clean,2,0,0,1
My Own Emergency Team,1,clean,2,0,0,1
I Felt Inadequate,1,clean,2,0,0,1
El Cuidador,1,clean,5,0,0,1
The Lord Stood by Me,1,clean,2,0,0,1
Our Best Offering,1,clean,2,0,0,1
Questions and Answers: What’s the harm in trying alcohol or tobacco just once?,1,clean,1,0,0,1
Watching Over Wasel,1,clean,2,0,0,1
Chapter Four: Establishing Zion in Missouri,1,clean,11,0,0,1
He Knows Us; He Loves Us,1,clean,8,0,0,1
Solidaridad en acción: ayuda desde Almería a Valencia,4,spanish_verb,2,0,0,1
Using Technology in our Gospel-Oriented lives,1,clean,2,0,0,1
"Joseph Smith’s Revelations, Doctrine and Covenants 31",1,clean,2,0,0,1
Chapter 87,1,clean,3,0,0,1
Chapter 13: Baptism,1,clean,19,0,0,1
Se necesitan profesionales en multimedia para trabajar en proyectos de la Iglesia,5,overlong,2,0,0,1
As Becometh Saints,1,clean,2,0,0,1
Batbayar y el libro con imágenes,1,clean,2,0,0,1
La esperanza de un misionero,1,clean,1,0,0,1
Hazlo conmigo,1,clean,3,0,0,1
Those Who Love Jesus,1,clean,2,0,0,1
Preparing to Enter the Holy Temple,1,clean,16,0,0,2
Un legado de ánimo,4,spanish_verb,8,0,0,1
Doctrine and Covenants Historical Resources: Henry G. Sherwood,1,clean,4,0,0,1
24 – 30 noviembre “Él ‘ha sellado su misión y obras con su propia sangre’”: Doctrina y Convenios 135–136,5,overlong,17,0,0,1
Informar,1,clean,12,0,0,10
Historical Authenticity,1,clean,3,0,0,1
Diezmos y otras ofrendas,1,clean,1,0,0,1
To Love the Things God Loves,1,clean,2,0,0,1
Cómo se concibió el Templo de Hong Kong,4,spanish_verb,1,0,0,1
Lugares santos en su vida,4,spanish_verb,2,0,0,1
I Could Not Forget the Challenge,1,clean,2,0,0,1
Capítulo 4: Mucho bien,1,clean,2,0,0,1
“Nuestro Señor los amaba y estaba con ellos”,5,starts_nonword,2,0,0,1
Section 15: Invitations of the Book of Mormon,1,clean,2,0,0,1
Forts and Friendship,1,clean,2,0,0,1
Galatians,1,clean,80,0,0,3
Cuatro maneras de recordar tu valor divino,1,clean,2,0,0,1
Evalúa tu aprendizaje 6: 1 Reyes 17–Ester,1,clean,8,0,0,1
Capítulo 4: La misión de la Iglesia,1,clean,3,0,0,1
Chapter 16: Marriage and Parenthood: Preparing Our Families for Eternal Life,1,clean,12,0,0,1
15 En la tormenta y en la calma,1,clean,3,0,0,1
Happiness: More Than a Mood,1,clean,2,0,0,1
Despejar nuestra agenda para la conferencia,1,clean,2,0,0,1
Joshua the Prophet,1,clean,30,0,0,1
Las canciones de la Primaria fueron una bendición para mí,1,clean,1,0,0,1
Visit New Area Websites!,1,clean,1,0,0,1
Get Ready for Conference!,1,clean,1,0,0,1
The Words of Christ and the Holy Ghost Will Lead Us to the Truth,1,clean,36,0,0,1
Lesson 192—Education for the Whole Soul: Seeking Both Spiritual and Secular Education,5,overlong,5,0,0,1
BYU International Folk Dancers Celebrate 50 Years,1,clean,1,0,0,1
"Citizenship, CFS, and BYU’s Soul",1,clean,3,0,0,1
Prophets Foretold the Birth of Jesus,1,clean,7,0,0,1
Luke Chapter 3,1,clean,2,0,0,1
Becoming like Him,1,clean,25,0,0,1
Spreading the Gospel East,1,clean,2,0,0,1
Love at Home—Counsel from Our Prophet,1,clean,2,0,0,1
¿Se me hizo tarde para servir en una misión?,1,clean,2,0,0,1
El verdadero maestro es el Espíritu,1,clean,2,0,0,1
Chart 2-6: Taxes in Judea,1,clean,2,0,0,1
Temples in the Pacific: A Reflection of Twentieth-Century Mormon History,1,clean,2,0,0,1
Cuando hay amor,4,spanish_verb,5,0,0,3
Slavery and Abolition,1,clean,2,0,0,1
"Matthew 26:36–46; Luke 22:39–46, Part 1",1,clean,15,0,0,2
La Iglesia entrega medios de desplazamiento en Palau,1,clean,1,0,0,1
Ester: Reseña,1,clean,4,0,0,1
¿Quedarme u obedecer?,1,clean,2,0,0,1
Ramas para miembros en el servicio militar activo,1,clean,2,0,0,1
El élder Soares visita Colombia,1,clean,1,0,0,1
Lesson 72—Doctrine and Covenants 58:38–60: “He Who Has Repented … Is Forgiven”,5,sentence_fragment,16,0,0,1
Disability and Social Justice in Ancient Israelite Culture,1,clean,3,0,0,1
Truths Most Worth Knowing,1,clean,2,0,0,1
Bad Grammar in the Book of Mormon Found in Early English Bibles,1,clean,2,0,0,1
Chart 6-3: Major Cities of Greece,1,clean,2,0,0,1
Understanding My Purpose as a Woman in the Church,1,clean,2,0,0,1
Parábolas de los que se perdieron y fueron hallados,4,spanish_verb,2,0,0,1
4: Fije metas para ayudar a sus hijos a tener éxito,1,clean,2,0,0,1
