dirty_id,dirty_name,clean_id,clean_name,type,pattern
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41117,42:30.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:228575,42:30,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41180,TG Council in Heaven;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31708,TG Council in Heaven,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41484,South Carolina’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39433,South Carolina,place,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41681,John’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26461,John,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41701,TG Mourning;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:30886,TG Mourning,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41837,"the ministry of the saints,",4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:849,the ministry of the saints,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41890,27:18.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51177,27:18,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41912,Intelligence of.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41666,Intelligence of,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42128,15:57.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:439809,15:57,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42216,11:40.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:461851,11:40,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42264,10:10.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:30692,10:10,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42287,Van Cott's,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42193,Van Cott,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42295,8:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33983,8:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42317,John John,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26461,John,person,duplicated_word
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42319,Peter Peter,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26867,Peter,person,duplicated_word
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42469,Peter’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26867,Peter,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42658,10:19.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5615,10:19,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42707,Paul’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26863,Paul,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42839,Solomon’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:27115,Solomon,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42897,Stephen’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:27119,Stephen,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43370,Simon Peter’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42328,Simon Peter,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43392,Martha’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26668,Martha,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43471,15:15.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:72006,15:15,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43590,"TG Jesus Christ, Appearances,",4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31512,"TG Jesus Christ, Appearances",person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43821,18:24.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38530,18:24,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43886,13:46.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:34798,13:46,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44097,Philip’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26898,Philip,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44171,Simon’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26950,Simon,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44206,Pharisee’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42876,Pharisee,people,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44235,16:26.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33837,16:26,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44263,11:10.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:59082,11:10,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44282,17:51.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:859,17:51,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44308,11:34.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41847,11:34,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44735,9:13;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31980,9:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44756,Herod’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26273,Herod,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44757,John Baptist’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44205,John Baptist,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45013,2:19;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33780,2:19,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45064,51:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:30767,51:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45118,11:10;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:59082,11:10,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45152,17:15.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31292,17:15,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45241,Sara’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42164,Sara,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45259,25:23.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:556265,25:23,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45856,24:25.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43776,24:25,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45939,Christoffel Golden Jr.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:152523,Christoffel Golden Jr,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46170,Ikkesh the Tekoite:,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45520,Ikkesh the Tekoite,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46484,26:38.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:69088,26:38,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46782,17:34.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42559,17:34,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46783,4:29.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:37386,4:29,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46825,Ahab’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5519,Ahab,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46918,24:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44920,24:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46980,"TG Priesthood,",4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31125,TG Priesthood,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47022,Eliab’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:587229,Eliab,people,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47054,Jonathan’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26464,Jonathan,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47097,15:28.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:67021,15:28,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47136,24:26.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:49172,24:26,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47576,10:30.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31645,10:30,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47603,4:21.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:41336,4:21,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47629,23:25.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:70474,23:25,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47807,Joab’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45471,Joab,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47840,19:12.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:445408,19:12,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47929,Saul’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42458,Saul,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47960,George A Smith's,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:206234,George A Smith,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47967,Amos Amos,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5634,Amos,person,duplicated_word
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47975,16:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33590,16:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48310,29:38.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45690,29:38,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48335,13:28.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:57835,13:28,period,trailing_punct
