name,cat,reason,degree,fam,cooc,mentions
Ezra Abbot,1,clean,81,0,25,3
Sheila Conant,1,clean,154,0,59,2
Chanaanite ka'-nan,1,clean,8,0,0,1
Irwin,1,clean,34,0,12,1
Moroni 10:8-17,3,scripture_ref,20,0,10,5
Adele Cannon,1,clean,219,0,98,3
F. A. Sampson,1,clean,153,0,65,1
Jer 52:34,3,scripture_ref,62,0,25,3
G.H. Box,1,clean,179,0,86,3
John S. Fowler,1,clean,185,0,178,1
bien;corona,4,single_lowercase,10,0,1,1
Rama Yakarta Sur,1,clean,41,0,19,2
Redimió Jehová,4,spanish_verb,8,0,4,1
⁸Pero,2,prefix_noise,49,0,17,1
Thailand,1,clean,83,0,21,2
’s,5,starts_nonword,162,0,70,7
hand.27 Harrison,1,clean,63,0,27,1
vessels,4,single_lowercase,51,0,19,17
Ruth Vose Sayers,1,clean,287,0,109,18
"id=""aside5_p30"">Puedo",5,html_fragment,17,0,9,1
Joseph Smith’s Description,1,clean,45,0,6,1
tía Maud,4,spanish_verb,29,0,18,1
Areli,1,clean,408,1,185,37
Alena Liudvikouskaya Miller,1,clean,229,0,206,2
Cheryl Burr,1,clean,8,0,0,4
Querétaro,1,clean,34,0,14,1
His Spiritual and Cultural Heritage,1,clean,59,0,25,5
Tiphsah Passing,1,clean,48,0,15,3
Joseph F. Considering,1,clean,28,0,12,1
John Calvin’s,2,possessive,445,0,163,17
Stephanie Coontz,1,clean,64,0,26,7
Peter Hardeman Burnett,1,clean,71,0,25,1
A. Enrique Texeira,1,clean,67,0,34,2
Lidebir,1,clean,213,0,99,34
Kharfot,1,clean,515,0,118,37
Helaman 13:33,3,scripture_ref,127,0,39,43
Mark 13:34-37,3,scripture_ref,63,0,18,13
Lucy Jane Corbett,1,clean,192,0,123,3
“Quetzaltenango-Guatemala,5,starts_nonword,40,0,15,1
Man-Yi,1,clean,38,0,6,1
William miró,1,clean,21,0,7,1
Recordó,1,clean,459,0,223,33
Oliver Hickman Browning,1,clean,48,0,22,1
Ermanno A. Arslan,1,clean,75,0,30,1
Lu 5:2-10,1,clean,51,0,14,1
“Iscariote,5,starts_nonword,27,0,18,1
Kenneth W. Godfrey,1,clean,2493,0,999,137
Carsten Rahbek,1,clean,141,0,95,1
Boses,1,clean,23,0,12,1
Aportar,1,clean,25,0,16,1
Almon Babitt,1,clean,106,0,41,1
"LQRX-CC4"">Véase John S. Carter",5,unbalanced_quotes,40,0,16,3
good.¹³,2,footnote_suffix,23,0,6,1
Randolyn,1,clean,21,0,7,1
Lebaoth,1,clean,657,0,297,97
seguir”⁵. Al,1,clean,13,0,6,1
Taukolo Langi,1,clean,34,0,16,1
John killed.73,1,clean,30,0,11,4
Catalina,1,clean,94,0,44,5
Gregory A. SchwitzerDe,1,clean,10,0,1,8
Ezekiel 27:16,1,clean,477,0,130,141
Lydia Goldthwaite Bailey,1,clean,317,0,92,14
John 8:44-45,3,scripture_ref,30,0,14,2
John Cristopher Thomas’s,2,possessive,55,0,25,1
Elder Cannonâs,1,clean,36,0,7,1
William J. [,1,clean,53,0,36,2
Mark 14:42,3,scripture_ref,82,0,32,8
a. Joseph,1,clean,43,0,25,1
J.R.,1,clean,509,0,102,5
Joseph Smith Papyrus,1,clean,428,0,175,13
B.C. B.C.,1,clean,60,0,17,3
R. L. Port & Co.,1,clean,70,0,38,1
Sister Hilton,1,clean,136,0,54,10
Psalm 29:4,3,scripture_ref,48,0,17,12
Abagtha,1,clean,400,0,204,52
”²² Alma,5,starts_nonword,97,0,24,26
Leland Andersen,1,clean,22,0,10,2
Friends Sharing,1,clean,23,0,12,1
Daniel 11:1,3,scripture_ref,108,0,50,19
Sylvester,1,clean,1003,0,395,32
Josephine Wood,1,clean,83,0,37,1
Whittaker,1,clean,1158,0,516,51
Joseph Guy,1,clean,69,0,21,2
Barbara Ballard,1,clean,171,0,88,4
Castle Dale,1,clean,118,0,44,5
Sacred Space,1,clean,227,0,74,14
Japhia,1,clean,891,1,446,109
Horizontal Harmony,1,clean,49,0,19,5
Edwin Shepard,1,clean,197,0,50,1
John Jacques,1,clean,133,0,54,5
Seferovich,1,clean,132,0,74,3
Explíquenles,1,clean,12,0,7,3
Sidney Dillon,1,clean,47,0,13,1
↩ Helaman 5:21,5,starts_nonword,52,0,20,6
Theodore M. Jacobsen,1,clean,118,0,64,1
opone,4,single_lowercase,14,0,5,1
Abello,1,clean,30,0,10,1
M. Russell m. Perry 14,1,clean,16,0,12,1
Country Printer,1,clean,64,0,26,1
Breck England 150–52,1,clean,24,0,12,1
John 5:14,3,scripture_ref,284,0,106,91
H. Yosef,1,clean,79,0,30,12
Jacob 5:43,3,scripture_ref,109,0,37,39
Encyclopaedia Britannica,1,clean,86,0,22,38
María Luisa González Haro,4,spanish_verb,2,0,0,1
der Griechen,1,clean,5,0,0,1
Kilbirnie,1,clean,204,0,85,1
Lucy Brown,1,clean,218,0,117,3
Unto John's,2,possessive,47,0,19,5
J. Martineau,1,clean,3,0,0,1
An Chea Maline,1,clean,56,0,13,1
Ant XIX,1,clean,1,0,0,1
W. E. Matlock,1,clean,40,0,15,1
JamesE. Faust,1,clean,41,0,19,4
Robert Jamieson,1,clean,134,0,62,7
Ro 1:26,1,clean,12,0,0,2
Wetzer,1,clean,105,0,41,1
Elders Henry D. Moyle,1,clean,36,0,15,1
horah,4,single_lowercase,41,0,11,3
“Jehová,5,starts_nonword,1938,0,734,600
Defile,1,clean,1,0,0,1
Hymenaeus HYMENÃ†US,1,clean,43,0,16,7
Mientras Grandison Newell,4,spanish_fragment,25,0,13,1
Jesse Little,1,clean,332,0,105,7
Jg 18:28,1,clean,0,0,0,0
Kefr Thilth,1,clean,1,0,0,1
Bantam Books,1,clean,1114,0,493,28
A. D. 325-750,1,clean,59,0,18,1
King Josiah,1,clean,921,0,306,205
Alma 42:4–16,3,scripture_ref,39,0,9,12
Distractions,1,clean,48,0,20,5
Señor magnificará,1,clean,57,0,29,6
Winitzer,1,clean,320,0,119,12
âConcerningperi dein 1 Corinthians,1,clean,71,0,31,6
Henry Newman,1,clean,252,0,99,3
Dwight L. Moody,1,clean,58,0,22,2
Weizsacker,1,clean,283,0,74,8
Bedford Falls,1,clean,21,0,11,1
Majumas,1,clean,72,0,28,17
Holladay Fourth Ward,1,clean,38,0,23,1
Sarah Hadley,1,clean,27,0,14,1
Jorge T. Becerra,1,clean,624,0,402,26
GEE Redención,1,clean,450,0,154,127
“World’s Congress,5,starts_nonword,42,0,21,1
J. Stratton,1,clean,32,0,14,2
Juan 14:6–14,3,scripture_ref,43,0,19,11
Valerie K.,1,clean,49,0,12,5
Melvin J. Ballard 1922,1,clean,35,0,17,1
¿Qué te llamó,4,spanish_verb,36,0,14,6
Leviathan le-vi'-a-than,1,clean,52,0,21,1
Eran Brigham,1,clean,65,0,39,1
Juan 13:3–17,3,scripture_ref,101,0,44,19
P. W. The Archive of the Theban Choachytes,1,clean,83,0,45,1
ÏÏÎ¿Î¬Î³ÎµÎ¹Î½ Îµá¼°,5,mojibake,23,0,10,1
Kristopher Swinson,1,clean,2,0,0,1
Helen J. Selee,1,clean,2,0,0,1
Gregory E. Ganssle,1,clean,131,0,75,2
ra-ma-tha'-im-zo'-fim,4,single_lowercase,65,0,28,1
Terry Eagleton,1,clean,209,0,96,5
Matthew 20:31-34,1,clean,79,0,34,14
Sethosis,1,clean,40,0,18,1
dialogismos,4,single_lowercase,52,0,18,1
Mindy Selu Revistas,1,clean,53,0,19,2
William Lupton,1,clean,211,0,132,1
Henry Shires,1,clean,31,0,8,2
Birth Birth,2,duplicated_word,1,0,0,1
William Lucius,1,clean,78,0,52,1
James 1 “Ask of God,1,clean,41,0,16,10
The Gospel V. THE TEACHING OF,1,clean,1,0,0,1
Elder’s Conference,1,clean,43,0,4,9
Donna Macurdy Nielson,1,clean,31,0,9,3
Joseph F.;,2,trailing_punct,62,0,44,1
Anicée Dufour,1,clean,60,0,19,6
Adrammelech Adar,1,clean,81,0,36,6
the Amraphel of,1,clean,54,0,15,10
Compare John Clark,1,clean,87,0,35,3
Isaiah 33:14,1,clean,97,0,33,14
John P. Pratt,1,clean,138,0,46,4
power.â26,4,single_lowercase,22,0,9,3
the Macedonian Cry,1,clean,20,0,0,1
Ashtaroth,1,clean,1435,0,488,342
Forgotten Constitutions(Cambridge,1,clean,91,0,38,1
James’s,2,possessive,1504,0,487,342
Stephen J. Trayner,1,clean,57,0,39,1
Jer 19:3,3,scripture_ref,67,0,31,13
Theresa Thompson Call,1,clean,93,0,45,2
George Born,1,clean,87,0,41,1
W. W. Imperial Gazetteer,1,clean,110,0,39,1
Lewis M. Cass,1,clean,22,0,9,1
Neby Harun,1,clean,42,0,21,1
Perea,1,clean,506,0,154,126
Henry E. Legler,1,clean,66,0,21,1
quarry,4,single_lowercase,47,0,23,1
Herbert W. Basser,1,clean,271,0,109,17
W. S. Fox,1,clean,44,0,9,1
"Lu 15:5-7,9-10,22",1,clean,13,0,0,0
Arabia Petrea,1,clean,193,0,51,17
Worthily,1,clean,30,0,13,1
Mori Farmer’s,2,possessive,26,0,10,1
Jose,1,clean,4235,0,2181,290
Giorgio de,1,clean,210,0,96,4
Stanley E. âThe,1,clean,139,0,62,6
Gertrude M. Richards,1,clean,4,0,0,2
Krista Rogers Mortensen,1,clean,74,0,34,4
Eliza R. Snow Smith’s Visit,1,clean,218,0,91,4
Philologus,1,clean,540,0,246,89
Véanse Metzger y Coogan,1,clean,86,0,42,21
Carma N. Cutler,1,clean,2,0,0,1
Maleum C. Davis,1,clean,159,0,146,1
W. W. Phelps Version,1,clean,36,0,15,1
"Willy Reske, n.",1,clean,2,0,0,1
J. M. Ross,1,clean,44,0,18,6
iv.6,4,single_lowercase,45,0,11,1
Festus,1,clean,1024,0,301,184
Spring Term,1,clean,25,0,9,1
Marcos Elias,1,clean,29,0,9,1
sunekdemos,4,single_lowercase,38,0,17,1
Dasem,1,clean,63,0,19,1
John Adams Quotes,1,clean,59,0,29,1
destroyed.82,4,single_lowercase,24,0,6,1
diâ epistolÅn,1,clean,22,0,6,1
Phrurai,1,clean,62,0,21,4
Hannah Greenwood,1,clean,736,0,405,14
Deeira,1,clean,47,0,19,1
M. Eugene Boring,1,clean,362,0,150,24
Mary Jane Acuña,1,clean,230,0,118,1
Sophan,1,clean,1,0,0,1
I. Timothy,1,clean,112,0,58,2
D. R. Shackleton Bailey,1,clean,172,0,62,7
Luke 7:11–16,3,scripture_ref,163,0,54,48
Jasper Hawkins,1,clean,38,0,11,4
Amasiah,1,clean,686,0,326,134
Model Read Doctrine,1,clean,33,0,14,3
listens,4,single_lowercase,13,0,9,1
Hannah Grinnels,1,clean,261,0,143,6
David Phillips,1,clean,74,0,30,1
sido’”⁷. Mis,4,spanish_verb,30,0,21,1
Eze 25:16,1,clean,14,0,0,2
W. C. Staines,1,clean,176,0,62,3
Mary Black,1,clean,4,0,0,2
Evelin S. Sittner,1,clean,2,0,0,1
Sarah Mariah,1,clean,140,0,131,1
Kemusu Suharto,1,clean,34,0,10,1
Jo,1,clean,733,0,273,22
G. Hittel,1,clean,65,0,25,1
"Gary M.,",2,trailing_punct,76,0,35,7
Rafael Dias de Moura,1,clean,70,0,29,5
D. Miall Edwards,1,clean,386,0,141,8
R. LaVell,1,clean,5,0,2,1
