name,cat,reason,degree,fam,cooc,mentions
30.âAt eight-ten a.m.,1,clean,80,0,39,1
some 7 miles,1,clean,328,0,186,6
Heavenly” ##,1,clean,35,0,27,1
about 1 mile,1,clean,28,0,15,2
"3,000,000",1,clean,85,0,42,2
Ïá½¸,1,clean,44,0,25,1
## Case #1,5,starts_nonword,34,0,17,2
some 1.17 miles,1,clean,40,0,31,1
### Brazen Serpent,5,starts_nonword,1,0,0,1
one-eighth mile,1,clean,53,0,34,1
## Suggestions for Study - Why,5,starts_nonword,15,0,9,1
## Ithai ITHAI,5,starts_nonword,88,0,49,1
10-28 grams,3,short_scripture,13,0,8,1
millions on millions,1,clean,84,0,58,5
3:7,5,numeric_only,177,0,83,9
"22,925-square-meter",1,clean,29,0,20,1
## Tragacanth,5,starts_nonword,52,0,40,1
1.5-cm,1,clean,10,0,6,1
"9:22-23,25,42",3,short_scripture,56,0,25,1
ninety-seven thousand,1,clean,21,0,16,1
more than 200 miles,1,clean,105,0,71,3
## Crises,5,starts_nonword,42,0,33,1
about eighteen feet square,1,clean,18,0,12,1
"more than 3,000 square miles",1,clean,48,0,29,1
less than a cent,1,clean,22,0,16,1
9.75,5,numeric_only,36,0,17,1
## Summing,5,starts_nonword,14,0,8,1
(174 miles per hour,5,starts_nonword,75,0,55,1
## Ahimelech Brother,5,starts_nonword,74,0,33,1
2.4.2 ###,1,clean,27,0,23,1
## Jaasiel,5,starts_nonword,160,0,71,2
## Nursery,5,starts_nonword,24,0,20,1
## Fetch ###,5,starts_nonword,46,0,33,1
179] #,1,clean,59,0,41,1
275.00,5,numeric_only,21,0,15,1
61:3 ###,3,short_scripture,44,0,33,1
24:1,5,numeric_only,213,0,124,4
## Adithaim,5,starts_nonword,82,0,42,1
86–89 Section 4 ##,1,clean,44,0,32,1
1Ma 13:42,1,clean,45,0,31,1
## Monogamists “Receive Me Not?,5,starts_nonword,22,0,16,1
## 3D Book,5,starts_nonword,61,0,38,1
about thirteen hundred miles,1,clean,80,0,57,1
## Charismatic Authority,5,starts_nonword,47,0,30,1
seventy feet,1,clean,65,0,52,2
47:31,5,numeric_only,57,0,40,1
4:1–16,5,numeric_only,61,0,42,3
## Narratological,5,starts_nonword,29,0,17,1
Page 336,1,clean,54,0,41,2
## Ensue ###,5,starts_nonword,1,0,0,1
at least twelve miles,1,clean,72,0,45,1
"1,609 km",1,clean,16,0,10,1
## Elias,5,starts_nonword,76,0,24,1
"4,200 miles",1,clean,35,0,28,1
three divine,1,clean,585,0,394,18
## Bethink #,5,starts_nonword,1,0,0,1
## Basket BASKET,5,starts_nonword,45,0,29,1
## Aholiab,5,starts_nonword,192,0,43,1
20–22 ###,3,short_scripture,58,0,42,2
## Aeon #,5,starts_nonword,25,0,0,1
## Caphtor CAPHTOR,5,starts_nonword,56,0,35,1
W. 350 miles,1,clean,46,0,24,1
around about three miles,1,clean,21,0,13,1
2Sa 16:1-4,1,clean,31,0,16,1
"900,000",1,clean,20,0,18,1
46:2 ###,3,short_scripture,33,0,24,1
11:26–25:10,5,numeric_only,30,0,23,1
## Caiaphas ###,5,starts_nonword,1,0,0,1
