from_name,from_type,relation,to_name,to_type
Helon,person,FATHER_OF,Eliab,person
Shedeur,person,FATHER_OF,Elizur,person
Zurishaddai,person,FATHER_OF,Shelumiel,person
Deuel,person,FATHER_OF,Eliasaph,person
Ammihud,person,FATHER_OF,Elishama,person
Pedahzur,person,FATHER_OF,Gamaliel,person
Gideoni,person,FATHER_OF,Abidan,person
Ammishaddai,person,FATHER_OF,Ahiezer,person
Raguel,person,FATHER_OF,Hobab,person
Ocran,person,FATHER_OF,Pagiel,person
Enan,person,FATHER_OF,Ahira,person
Reuel,person,FATHER_OF,Eliasaph,person
Levi,person,FATHER_OF,Jochebed,person
Kohath,person,FATHER_OF,Amram,person
Aaron,person,FATHER_OF,Ithamar,person
Ammihud,person,FATHER_OF,Shemuel,person
Chislon,person,FATHER_OF,Elidad,person
Jogli,person,FATHER_OF,Bukki,person
Ephod,person,FATHER_OF,Hanniel,person
Shiphtan,person,FATHER_OF,Kemuel,person
Parnach,person,FATHER_OF,Elizaphan,person
Azzan,person,FATHER_OF,Paltiel,person
Shelomi,person,FATHER_OF,Ahihud,person
Ammihud,person,FATHER_OF,Pedahel,person
Zaccur,person,FATHER_OF,Shammua,person
Hori,person,FATHER_OF,Shaphat,person
Joseph,person,FATHER_OF,Igal,person
Nun,person,FATHER_OF,Oshea,person
Raphu,person,FATHER_OF,Palti,person
Sodi,person,FATHER_OF,Gaddiel,person
Susi,person,FATHER_OF,Gaddi,person
Gemalli,person,FATHER_OF,Ammiel,person
Michael,person,FATHER_OF,Sethur,person
Vophsi,person,FATHER_OF,Nahbi,person
Machi,person,FATHER_OF,Geuel,person
Manasseh,person,FATHER_OF,Jair,person
Beeri,person,FATHER_OF,Hosea,person
Terah,person,FATHER_OF,Abram,person
Haran,person,FATHER_OF,Milcah,person
Canaan,person,FATHER_OF,Sidon,person
Bethuel,person,FATHER_OF,Laban,person
Bashemath,person,FATHER_OF,Reuel,person
Baladan,person,FATHER_OF,Berodach-baladan,person
ZACHARIAH,person,FATHER_OF,Abi,person
Hilkiah,person,FATHER_OF,Eliakim,person
Asaph,person,FATHER_OF,Joah,person
Ahikam,person,FATHER_OF,Gedaliah,person
Elishama,person,FATHER_OF,Nethaniah,person
Nethaniah,person,FATHER_OF,Ishmael,person
CAREAH,people,FATHER_OF,Johanan,person
Tanhumeth,person,FATHER_OF,Seraiah,person
Shaphat,person,FATHER_OF,Elisha,person
Remaliah Ahaz,people,FATHER_OF,Pekah,person
Rechab,person,FATHER_OF,JEHONADAB,person
Elah,person,FATHER_OF,Hoshea,person
Shimeath,person,FATHER_OF,Jozachar,person
Shomer,person,FATHER_OF,Jehozabad,person
Joash,person,FATHER_OF,Amaziah,person
Jehoahaz,person,FATHER_OF,Jehoash,person
Jehoash,person,FATHER_OF,Judah,person
Ahaziah,person,FATHER_OF,Jehoash,person
Joash,person,FATHER_OF,Judah Jeroboam,person
Ahab,person,FATHER_OF,Joram,person
Jehu,person,FATHER_OF,Judah Jehoahaz,person
Hazael,person,FATHER_OF,Ben-hadad,person
Haruz,person,FATHER_OF,Meshullemeth,person
Jehoshaphat,person,FATHER_OF,Jehu,person
Ahijah,person,FATHER_OF,Baasha,person
Josiah,person,FATHER_OF,Eliakim,person
Jeremiah,person,FATHER_OF,Hamutal,person
Pedaiah,person,FATHER_OF,Zebudah,person
Meshullam,person,FATHER_OF,Azaliah,person
Adaiah,person,FATHER_OF,Jedidah,person
HARHAS,person,FATHER_OF,Tikvah,person
Michaiah,person,FATHER_OF,Achbor,person
Tikvah,person,FATHER_OF,Shallum,person
Elnathan,person,FATHER_OF,Nehushta,person
Jeroboam,person,FATHER_OF,ZACHARIAH,person
Jabesh,person,FATHER_OF,Shallum,person
Gadi,person,FATHER_OF,Menahem,person
Menahem,person,FATHER_OF,Judah Pekahiah,person
Zadok,person,FATHER_OF,Jerusha,person
David,person,FATHER_OF,Preacher,person
Gershom,person,FATHER_OF,Jonathan,person
Gera,person,FATHER_OF,Ehud,person
Anath,person,FATHER_OF,Shamgar,person
Gilead,person,FATHER_OF,Jephthah,person
Dodo,person,FATHER_OF,Puah,person
Puah,person,FATHER_OF,Israel Tola,person
Hillel,person,FATHER_OF,Abdon,person
Joash,person,FATHER_OF,Gideon,person
Joash,person,FATHER_OF,JERUBBAAL,person
JERUBBAAL,person,FATHER_OF,Abimelech,person
Ebed,person,FATHER_OF,Gaal,person
JERUBBAAL,person,FATHER_OF,Jotham,person
Abinoam,person,FATHER_OF,Barak,person
Jehiel,person,FATHER_OF,Shechaniah,person
Tikvah,person,FATHER_OF,Jahaziah,person
Iddo,person,FATHER_OF,Zechariah,person
Zerahiah,person,FATHER_OF,Elihoenai,person
Jonathan,person,FATHER_OF,Ebed,person
Athaliah,person,FATHER_OF,Jeshaiah,person
Michael,person,FATHER_OF,Zebadiah,person
Jehiel,person,FATHER_OF,Obadiah,person
Bebai,person,FATHER_OF,Zechariah,person
Hakkatan,person,FATHER_OF,Johanan,person
Levi,person,FATHER_OF,Mahli,person
Uriah,person,FATHER_OF,Meremoth,person
Phinehas,person,FATHER_OF,Eleazar,person
Jeshua,person,FATHER_OF,Jozabad,person
Binnui,person,FATHER_OF,Noadiah,person
Hammedatha,person,FATHER_OF,Haman,person
Jair,person,FATHER_OF,Mordecai,person
Kish,person,FATHER_OF,Shimei,person
Abihail,person,FATHER_OF,Esther,person
Baladan,person,FATHER_OF,Merodach-baladan,person
Jakeh,person,FATHER_OF,Agur,person
Eliadah,person,FATHER_OF,Rezon,person
Jether,person,FATHER_OF,Amasa,person
Imlah,person,FATHER_OF,Micaiah,person
Chenaanah,person,FATHER_OF,Zedekiah,person
Ahab,person,FATHER_OF,Ahaziah,person
Abishalom,person,FATHER_OF,Maachah,person
Tabrimon,person,FATHER_OF,Ben-hadad,person
Jeroboam,person,FATHER_OF,Nadab,person
Zadok,person,FATHER_OF,Azariah,person
Nathan,person,FATHER_OF,Azariah,person
Nathan,person,FATHER_OF,Zabud,person
Abda,person,FATHER_OF,Adoniram,person
Ahilud,person,FATHER_OF,Baana,person
Iddo,person,FATHER_OF,Ahinadab,person
Hushai,person,FATHER_OF,Baanah,person
Paruah,person,FATHER_OF,Jehoshaphat,person
Elah,person,FATHER_OF,Shimei,person
Uri,person,FATHER_OF,Geber,person
Ahasuerus,person,FATHER_OF,Darius,person
Benaiah,person,FATHER_OF,Zechariah,person
Mattaniah,person,FATHER_OF,Jeiel,person
Zechariah,person,FATHER_OF,Jahaziel,person
Dodavah,person,FATHER_OF,Eliezer,person
Imla,person,FATHER_OF,Micaiah,person
Jehoahaz,person,FATHER_OF,Joash,person
Joash,person,FATHER_OF,Judah,person
Jesse,person,FATHER_OF,Eliab,person
Maachah,person,FATHER_OF,Abijah,person
Zichri,person,FATHER_OF,Amasiah,person
Ishmael,person,FATHER_OF,Zebadiah,person
Azariah,person,FATHER_OF,Joel,person
Abdi,person,FATHER_OF,Kish,person
Jehalelel,person,FATHER_OF,Azariah,person
Zimmah,person,FATHER_OF,Joah,person
Joah,person,FATHER_OF,Eden,person
Hasrah,person,FATHER_OF,Tikvath,person
Micah,person,FATHER_OF,Abdon,person
Tikvath,person,FATHER_OF,Shallum,person
Imnah,person,FATHER_OF,Kore,person
Jeroham,person,FATHER_OF,Azariah,person
Jehohanan,person,FATHER_OF,Ishmael,person
Obed,person,FATHER_OF,Azariah,person
Adaiah,person,FATHER_OF,Maaseiah,person
Zichri,person,FATHER_OF,Elishaphat,person
Shimeath,person,FATHER_OF,Zabad,person
Shimrith,person,FATHER_OF,Jehozabad,person
Meshillemoth,person,FATHER_OF,Berechiah,person
Shallum,person,FATHER_OF,Jehizkiah,person
Hadlai,person,FATHER_OF,Amasa,person
Oded,person,FATHER_OF,Azariah,person
Ahisamach,person,FATHER_OF,Aholiab,person
Amminadab,person,FATHER_OF,Elisheba,person
Immer,person,FATHER_OF,Pashur,person
Habaziniah,person,FATHER_OF,Jeremiah,person
Igdaliah,person,FATHER_OF,Hanan,person
Jeremiah,person,FATHER_OF,Jaazaniah,person
Shallum,person,FATHER_OF,Maaseiah,person
Rechab,person,FATHER_OF,Jonadab,person
Jehoiakim,person,FATHER_OF,Coniah,person
Shelemiah,person,FATHER_OF,Jehucal,person
Maaseiah,person,FATHER_OF,Zephaniah,person
Shelemiah,person,FATHER_OF,Irijah,person
Shaphan,person,FATHER_OF,Elasah,person
Hilkiah,person,FATHER_OF,Gemariah,person
Kolaiah,person,FATHER_OF,Ahab,person
Maaseiah,person,FATHER_OF,Zedekiah,person
Shemaiah,person,FATHER_OF,Urijah,person
Achbor,person,FATHER_OF,Elnathan,person
Kareah,person,FATHER_OF,Johanan,person
Neriah,person,FATHER_OF,Baruch,person
Hoshaiah,person,FATHER_OF,Jezaniah,person
Mattan,person,FATHER_OF,Shephatiah,person
Pashur,person,FATHER_OF,Gedaliah,person
Shelemiah,person,FATHER_OF,Jucal,person
Hammelech,person,FATHER_OF,Malchiah,person
Melchiah,person,FATHER_OF,Pashur,person
Jehoiakim,person,FATHER_OF,Jeconiah,person
Josiah,person,FATHER_OF,Shallum,person
Hoshaiah,person,FATHER_OF,Azariah,person
Shallum,person,FATHER_OF,Hanameel,person
Maaseiah,person,FATHER_OF,Neriah,person
Azur,person,FATHER_OF,Hananiah,person
Neriah,person,FATHER_OF,Seraiah,person
Shaphan,person,FATHER_OF,Gemariah,person
Shelemiah,person,FATHER_OF,Nethaniah,person
Shemaiah,person,FATHER_OF,Delaiah,person
Hananiah,person,FATHER_OF,Zedekiah,person
Nethaniah,person,FATHER_OF,Jehudi,person
Hammelech,person,FATHER_OF,Jerahmeel,person
Azriel,person,FATHER_OF,Seraiah,person
Abdeel,person,FATHER_OF,Shelemiah,person
Dibri,person,FATHER_OF,Shelomith,person
Reuben,person,FATHER_OF,Eliab,person
Nun,person,FATHER_OF,Hoshea,person
Irad,person,FATHER_OF,Mahujael,person
Mahujael,person,FATHER_OF,Methusael,person
SOLOMON MACK,person,FATHER_OF,Mack,person
Judas,person,FATHER_OF,Jesus,person
Jehoahaz,person,FATHER_OF,Israel,person
Sirach,person,FATHER_OF,Jesus,person
Jabesh,person,FATHER_OF,Israel,person
Jehoshaphat,person,FATHER_OF,Judah,person
Ahab,person,FATHER_OF,Israel,person
Abraham,person,FATHER_OF,David,person
Zacarías,person,FATHER_OF,Juan,person
Mormón,person,FATHER_OF,Moroni,person
Ammorón,person,FATHER_OF,Tubalot,person
Noé,person,FATHER_OF,Limhi,person
Mormón,person,FATHER_OF,Soy,person
Helamán,person,FATHER_OF,Nefi,person
Abinadom,person,FATHER_OF,Amalekí,place
Coriantor,person,FATHER_OF,Éter,person
Het,person,FATHER_OF,Aarón,person
Noé,person,FATHER_OF,Cohor,person
Jared,person,FATHER_OF,Entonces,person
Uzías,person,FATHER_OF,Jotam,person
Jotam,person,FATHER_OF,Acaz,person
Remalías,person,FATHER_OF,Peca,person
Amoz,person,FATHER_OF,Isaías,person
Justicia,person,FATHER_OF,Mas,person
Jonás,person,FATHER_OF,Simón,person
Alfeo,person,FATHER_OF,Jacobo,person
David,person,FATHER_OF,Jesucristo,person
Jacob,person,FATHER_OF,Judá,person
Fares,person,FATHER_OF,Esrom,person
Aminadab,person,FATHER_OF,Naasón,person
Naasón,person,FATHER_OF,Salmón,person
Obed,person,FATHER_OF,Isaí,people
Salomón,person,FATHER_OF,Roboam,person
Roboam,person,FATHER_OF,Abías,person
Abías,person,FATHER_OF,Asa,person
Asa,person,FATHER_OF,Josafat,person
Josafat,person,FATHER_OF,Joram,person
Joram,person,FATHER_OF,Uzías,person
Acaz,person,FATHER_OF,Ezequías,person
Ezequías,person,FATHER_OF,Manasés,person
Manasés,person,FATHER_OF,Amón,person
Amón,person,FATHER_OF,Josías,person
Josías,person,FATHER_OF,Jeconías,person
Jeconías,person,FATHER_OF,Salatiel,person
Salatiel,person,FATHER_OF,Zorobabel,person
Abiud,person,FATHER_OF,Eliaquim,person
Eliaquim,person,FATHER_OF,Azor,person
Sadoc,person,FATHER_OF,Aquim,person
Aquim,person,FATHER_OF,Eliud,person
Eleazar,person,FATHER_OF,Matán,person
Matán,person,FATHER_OF,Jacob,person
Jacob,person,FATHER_OF,José,person
David,person,FATHER_OF,José,person
Berequías,person,FATHER_OF,Zacarías,person
Cis,person,FATHER_OF,Saúl,person
Isaí,people,FATHER_OF,David,person
Simón,person,FATHER_OF,Judas Iscariote,person
Simón Iscariote,person,FATHER_OF,Judas,person
José,person,FATHER_OF,Jesús,person
David,person,FATHER_OF,Jesús,person
Alfeo,person,FATHER_OF,Leví,person
Leví,person,FATHER_OF,Matat,person
Jana,person,FATHER_OF,Melqui,person
Amós,person,FATHER_OF,Matatías,person
Esli,person,FATHER_OF,Nahum,person
Matatías,person,FATHER_OF,Maat,person
José,person,FATHER_OF,Semei,person
Resa,person,FATHER_OF,Joana,person
Adi,person,FATHER_OF,Melqui,person
Eliezer,person,FATHER_OF,Josué,person
Matat,person,FATHER_OF,Jorim,person
Simeón,person,FATHER_OF,Leví,person
José,person,FATHER_OF,Judá,person
Eliaquim,person,FATHER_OF,Jonán,person
Mainán,person,FATHER_OF,Melea,person
Natán,person,FATHER_OF,Matata,person
Elí,person,FATHER_OF,José,person
Taré,person,FATHER_OF,Abraham,person
Ragau,person,FATHER_OF,Serug,person
Heber,person,FATHER_OF,Peleg,person
Arfaxad,person,FATHER_OF,Cainán,person
Noé,person,FATHER_OF,Sem,person
Enoc,person,FATHER_OF,Matusalén,people
Set,person,FATHER_OF,Enós,person
Saúl,person,FATHER_OF,Merab,person
Lais,person,FATHER_OF,Palti,person
Saúl,person,FATHER_OF,Jonatán,person
Finees,person,FATHER_OF,Icabod,person
Ahitob,people,FATHER_OF,Ahías,person
Ahimaas,person,FATHER_OF,Ahinoam,person
Sarvia,person,FATHER_OF,Abisai,person
Maoc,person,FATHER_OF,Aquis,person
Zeror,person,FATHER_OF,Abiel,person
Afía,person,FATHER_OF,Becorat,person
Abiel,person,FATHER_OF,Cis,person
Eliú,person,FATHER_OF,Jeroham,person
Zuf,person,FATHER_OF,Tohu,person
Jeroham,person,FATHER_OF,Elcana,person
Ahimelec,person,FATHER_OF,Abiatar,person
Ahitob,people,FATHER_OF,Ahimelec,person
Baraquel,person,FATHER_OF,Eliú,person
Eleazar,person,FATHER_OF,Finees,person
Lael,person,FATHER_OF,Eliasaf,person
Uziel,person,FATHER_OF,Elizafán,person
Aarón,person,FATHER_OF,Eleazar,person
Coat,person,FATHER_OF,Izhar,person
Izhar,person,FATHER_OF,Coré,person
Pelet,person,FATHER_OF,On,person
Nun,person,FATHER_OF,Josué,person
Zuar,person,FATHER_OF,Natanael,person
Helón,people,FATHER_OF,Eliab,person
Sedeur,place,FATHER_OF,Elisur,person
Zurisadai,person,FATHER_OF,Selumiel,person
Deuel,person,FATHER_OF,Eliasaf,person
Amiud,person,FATHER_OF,Elisama,person
Pedasur,person,FATHER_OF,Gamaliel,person
Gedeoni,person,FATHER_OF,Abidán,person
Amisadai,place,FATHER_OF,Ahiezer,person
Ocrán,person,FATHER_OF,Pagiel,person
Enán,person,FATHER_OF,Ahira,person
Reuel,person,FATHER_OF,Hobab,person
Reuel,person,FATHER_OF,Eliasaf,person
Jefone,person,FATHER_OF,Caleb,person
Hefer,person,FATHER_OF,Zelofehad,person
Maquir,person,FATHER_OF,Galaad,person
Leví,person,FATHER_OF,Jocabed,person
Coat,person,FATHER_OF,Amram,person
Aarón,person,FATHER_OF,Itamar,person
Amiud,person,FATHER_OF,Semuel,person
Jogli,person,FATHER_OF,Buqui,person
Efod,person,FATHER_OF,Haniel,person
Parnac,place,FATHER_OF,Elizafán,person
Amiud,person,FATHER_OF,Pedael,person
Zacur,person,FATHER_OF,Samúa,person
José,person,FATHER_OF,Igal,person
Nun,person,FATHER_OF,Oseas,person
Sodi,person,FATHER_OF,Gadiel,person
Gemali,place,FATHER_OF,Amiel,person
Micael,person,FATHER_OF,Setur,person
Galaad,person,FATHER_OF,Hefer,person
Manasés,person,FATHER_OF,Maquir,person
José,person,FATHER_OF,Manasés,person
Zipor,person,FATHER_OF,Balac,person
Beor,person,FATHER_OF,Dice Balaam,person
Fares,person,FATHER_OF,Hezrón,person
Hezrón,person,FATHER_OF,Ram,person
Ram,person,FATHER_OF,Aminadab,person
Salmón,person,FATHER_OF,Booz,person
Hilcías,person,FATHER_OF,Eliaquim,person
Asaf,person,FATHER_OF,Joa,person
Jair,person,FATHER_OF,Elhanán,person
Simea,person,FATHER_OF,Jonatán,person
Sarvia,person,FATHER_OF,Joab,person
Ahilud,person,FATHER_OF,Josafat,person
Ahitob,people,FATHER_OF,Sadoc,person
Abiatar,person,FATHER_OF,Abimelec,person
Joiada,person,FATHER_OF,Benaía,person
Talmai,person,FATHER_OF,Maaca,person
Maaca,person,FATHER_OF,Absalón,person
Haguit,person,FATHER_OF,Adonías,person
Amiel,person,FATHER_OF,Bet-súa,person
Jedutún,person,FATHER_OF,Obed-edom,person
Dodo,person,FATHER_OF,Elhanán,person
Iques,person,FATHER_OF,Ira,person
Baana,person,FATHER_OF,Heled,person
Ribai,person,FATHER_OF,Itai,person
Sage,person,FATHER_OF,Jonatán,person
Sacar,person,FATHER_OF,Ahíam,place
Ur,person,FATHER_OF,Elifal,person
Hagrai,person,FATHER_OF,Mibhar,person
Siza,place,FATHER_OF,Adina,person
Maaca,person,FATHER_OF,Hanán,person
Simri,person,FATHER_OF,Jediael,person
Nahas,person,FATHER_OF,Hanún,person
Finees,person,FATHER_OF,Abisúa,person
Abisúa,person,FATHER_OF,Buqui,person
Buqui,person,FATHER_OF,Uzi,person
Uzi,person,FATHER_OF,Zeraías,people
Zeraías,people,FATHER_OF,Meraiot,person
Meraiot,person,FATHER_OF,Amarías,person
Amarías,person,FATHER_OF,Ahitob,people
Sadoc,person,FATHER_OF,Ahimaas,person
Ahimaas,person,FATHER_OF,Azarías,person
Azarías,person,FATHER_OF,Johanán,person
Johanán,person,FATHER_OF,Azarías,person
Azarías,person,FATHER_OF,Amarías,person
Sadoc,person,FATHER_OF,Salum,person
Salum,person,FATHER_OF,Hilcías,person
Hilcías,person,FATHER_OF,Azarías,person
Azarías,person,FATHER_OF,Seraías,person
Seraías,person,FATHER_OF,Josadac,person
Samuel,person,FATHER_OF,Joel,person
Toa,person,FATHER_OF,Eliel,person
Elcana,person,FATHER_OF,Zuf,person
Amasai,person,FATHER_OF,Mahat,person
Joel,person,FATHER_OF,Elcana,person
Sofonías,person,FATHER_OF,Azarías,person
Asir,person,FATHER_OF,Tahat,person
Coré,person,FATHER_OF,Ebiasaf,people
Israel,person,FATHER_OF,Leví,person
Simea,person,FATHER_OF,Berequías,person
Baasías,person,FATHER_OF,Micael,person
Zera,person,FATHER_OF,Etni,person
Zima,person,FATHER_OF,Etán,person
Gersón,person,FATHER_OF,Jahat,person
Abdi,person,FATHER_OF,Quisi,person
Amasías,person,FATHER_OF,Hasabías,person
Bani,person,FATHER_OF,Amsi,person
Musi,person,FATHER_OF,Mahli,person
Leví,person,FATHER_OF,Merari,person
Berequías,person,FATHER_OF,Asaf,person
Quisi,person,FATHER_OF,Etán,person
Hezrón,person,FATHER_OF,Caleb,person
Isaí,people,FATHER_OF,Eliab,person
Atai,person,FATHER_OF,Natán,person
Natán,person,FATHER_OF,Zabad,person
Zabad,person,FATHER_OF,Eflal,person
Eflal,person,FATHER_OF,Obed,person
Obed,person,FATHER_OF,Jehú,person
Jehú,person,FATHER_OF,Azarías,person
Azarías,person,FATHER_OF,Heles,person
Heles,person,FATHER_OF,Elasa,person
Elasa,person,FATHER_OF,Sismai,person
Sismai,person,FATHER_OF,Salum,person
Salum,person,FATHER_OF,Jecamías,person
Jecamías,person,FATHER_OF,Elisama,person
Sema,person,FATHER_OF,Raham,person
Harán,person,FATHER_OF,Gazez,person
Coré,person,FATHER_OF,Meselemías,person
Moisés,person,FATHER_OF,Gersón,person
Gersón,person,FATHER_OF,Sebuel,person
Aher,person,FATHER_OF,Husim,person
Israel,person,FATHER_OF,José,person
Heber,person,FATHER_OF,Jaflet,person
Benjamín,person,FATHER_OF,Bela,person
Husim,person,FATHER_OF,Abitob,place
Miclot,person,FATHER_OF,Simea,person
Ner,person,FATHER_OF,Cis,person
MERIB-BAAL,person,FATHER_OF,Micaía,person
Acaz,person,FATHER_OF,Joada,person
Joada,person,FATHER_OF,Alemet,person
Zimri,person,FATHER_OF,Mosa,person
Mosa,person,FATHER_OF,Bina,place
Zicri,person,FATHER_OF,Eliezer,person
Maaca,person,FATHER_OF,Sefatías,person
Kemuel,person,FATHER_OF,Hasabías,person
Micael,person,FATHER_OF,Omri,person
Abdías,people,FATHER_OF,Ismaías,person
Azriel,person,FATHER_OF,Jerimot,person
Azazías,person,FATHER_OF,Oseas,person
Pedaías,person,FATHER_OF,Joel,person
Zacarías,person,FATHER_OF,Iddo,person
Adiel,person,FATHER_OF,Azmavet,person
Uzías,person,FATHER_OF,Jonatán,person
Quelub,people,FATHER_OF,Ezri,person
Adlai,person,FATHER_OF,Safat,person
Hacmoni,person,FATHER_OF,Jehiel,person
Benaía,person,FATHER_OF,Joiada,person
Omri,person,FATHER_OF,Amiud,person
Hodavías,person,FATHER_OF,Mesulam,person
Micri,person,FATHER_OF,Uzi,person
Reuel,person,FATHER_OF,Sefatías,person
Amiud,person,FATHER_OF,Utai,place
Judá,person,FATHER_OF,Fares,person
Jeroham,person,FATHER_OF,Ibneías,person
Uzi,person,FATHER_OF,Ela,person
Sefatías,person,FATHER_OF,Mesulam,person
Mesulam,person,FATHER_OF,Hilcías,person
Meraiot,person,FATHER_OF,Sadoc,person
Pasur,person,FATHER_OF,Jeroham,person
Jazera,person,FATHER_OF,Adiel,person
Mesilemit,person,FATHER_OF,Mesulam,person
Azricam,place,FATHER_OF,Hasub,person
Zicri,person,FATHER_OF,Micaía,person
Galal,person,FATHER_OF,Semaías,person
Elcana,person,FATHER_OF,Asa,person
Jeroham,person,FATHER_OF,Adaía,person
Adiel,person,FATHER_OF,Masai,person
Hasub,person,FATHER_OF,Semaías,person
Micaía,person,FATHER_OF,Matanías,person
Semaías,person,FATHER_OF,Obadías,person
Asa,person,FATHER_OF,Berequías,person
Ebiasaf,people,FATHER_OF,Coré,person
Coré,person,FATHER_OF,Salum,person
Meselemías,person,FATHER_OF,Zacarías,person
Miclot,person,FATHER_OF,Simeam,people
Acaz,person,FATHER_OF,Jara,person
Jara,person,FATHER_OF,Alemet,person
Sema,person,FATHER_OF,Azaz,person
Jaroa,person,FATHER_OF,Huri,person
Micael,person,FATHER_OF,Galaad,person
Jahdo,person,FATHER_OF,Jesisai,person
Abdiel,person,FATHER_OF,Ahí,person
Cus,person,FATHER_OF,Nimrod,person
Canaán,person,FATHER_OF,Sidón,person
Arfaxad,person,FATHER_OF,Sela,person
Sela,person,FATHER_OF,Heber,person
Zera,person,FATHER_OF,Jobab,person
Acbor,person,FATHER_OF,Baal-hanán,place
Natanael,person,FATHER_OF,Semaías,person
Abiatar,person,FATHER_OF,Ahimelec,person
Joel,person,FATHER_OF,Hemán,person
Cusaías,place,FATHER_OF,Etán,person
Saúl,person,FATHER_OF,Mical,person
Sobal,person,FATHER_OF,Reaía,person
Jahat,person,FATHER_OF,Ahumai,person
COS,people,FATHER_OF,Anub,person
Seraías,person,FATHER_OF,Joab,person
Judá,person,FATHER_OF,Sela,person
Faraón,person,FATHER_OF,Bitia,person
Amasías,person,FATHER_OF,Josías,person
Seraías,person,FATHER_OF,Josibías,person
Simri,person,FATHER_OF,Jedaías,person
Josibías,person,FATHER_OF,Jehú,person
Hamedata,person,FATHER_OF,Amán,person
Simei,person,FATHER_OF,Jair,person
Jair,person,FATHER_OF,Mardoqueo,person
Abihail,person,FATHER_OF,Ester,person
Bicri,person,FATHER_OF,Seba,person
Abital,person,FATHER_OF,Sefatías,person
Aja,person,FATHER_OF,Rizpa,person
Saúl,person,FATHER_OF,Is-boset,person
Lais,person,FATHER_OF,Paltiel,person
Gera,person,FATHER_OF,Simei,person
Eliam,person,FATHER_OF,Betsabé,person
Jerobaal,person,FATHER_OF,Abimelec,person
Nahas,person,FATHER_OF,Sobi,person
Amiel,person,FATHER_OF,Maquir,person
Nahas,person,FATHER_OF,Abigail,person
Rehob,person,FATHER_OF,Hadar-ezer,person
David,person,FATHER_OF,Absalón,person
David,person,FATHER_OF,Amnón,person
Simea,person,FATHER_OF,Jonadab,person
Amiud,person,FATHER_OF,Talmai,person
Jonatán,person,FATHER_OF,Mefi-boset,person
Barzilai,person,FATHER_OF,Adriel,person
Jaare-oregim,person,FATHER_OF,Elhanán,person
Isaí,people,FATHER_OF,Dijo David,person
Age,person,FATHER_OF,Sama,person
Maaca,person,FATHER_OF,Ahasbai,person
Baana,person,FATHER_OF,Heleb,person
Sarar,person,FATHER_OF,Ahíam,place
Ahasbai,person,FATHER_OF,Elifelet,person
Ahitofel,person,FATHER_OF,Eliam,person
Natán,person,FATHER_OF,Igal,person
Abiatar,person,FATHER_OF,Jonatán,person
Benaía,person,FATHER_OF,Zacarías,person
Matanías,person,FATHER_OF,Jeiel,person
Zacarías,person,FATHER_OF,Jahaziel,person
Silhi,place,FATHER_OF,Azuba,person
Hanani,person,FATHER_OF,Jehú,person
Dodava,person,FATHER_OF,Eliezer,person
Imla,person,FATHER_OF,Micaías,person
Quenaana,person,FATHER_OF,Sedequías,person
Jehú,person,FATHER_OF,Joacaz,person
Joacaz,person,FATHER_OF,Joás,person
Joás,person,FATHER_OF,Judá,person
Joás,person,FATHER_OF,Amasías,person
David,person,FATHER_OF,Jerimot,person
Maaca,person,FATHER_OF,Abías,person
Jerimot,person,FATHER_OF,Mahalat,person
Eliab,person,FATHER_OF,Abihail,person
Absalón,person,FATHER_OF,Maaca,person
Nabat,person,FATHER_OF,Jeroboam,person
Zicri,person,FATHER_OF,Amasías,person
Ismael,person,FATHER_OF,Zebadías,place
Zacarías,person,FATHER_OF,Abías,person
Azarías,person,FATHER_OF,Joel,person
Abdi,person,FATHER_OF,Cis,person
Jehalelel,person,FATHER_OF,Azarías,person
Zima,person,FATHER_OF,Joa,person
Joa,person,FATHER_OF,Edén,person
Amós,person,FATHER_OF,Isaías,person
Azalía,person,FATHER_OF,Safán,place
Joacaz,person,FATHER_OF,Joa,person
Safán,place,FATHER_OF,Ahicam,person
Micaía,person,FATHER_OF,Abdón,person
Hasra,person,FATHER_OF,Ticva,person
Ticva,person,FATHER_OF,Salum,person
Uriel,person,FATHER_OF,Micaías,person
Imna,person,FATHER_OF,Coré,person
Sadoc,person,FATHER_OF,Jerusa,person
Jeroham,person,FATHER_OF,Azarías,person
Johanán,person,FATHER_OF,Ismael,person
Obed,person,FATHER_OF,Azarías,person
Adaía,person,FATHER_OF,Maasías,person
Zicri,person,FATHER_OF,Elisafat,person
Joram,person,FATHER_OF,Ocozías,person
Acab,person,FATHER_OF,Joram,person
Omri,person,FATHER_OF,Atalía,person
Joram,person,FATHER_OF,Azarías,person
Nimsi,person,FATHER_OF,Jehú,person
Josafat,person,FATHER_OF,ES,people
Ocozías,person,FATHER_OF,Joás,person
Joiada,person,FATHER_OF,Zacarías,person
Simrit,person,FATHER_OF,Jozabad,person
Remalías,person,FATHER_OF,Peka,person
Mesilemot,person,FATHER_OF,Berequías,person
Salum,person,FATHER_OF,Ezequías,person
Josías,person,FATHER_OF,Joacaz,person
Beeri,person,FATHER_OF,Oseas,person
Joás,person,FATHER_OF,Jeroboam,person
Baasa,person,FATHER_OF,Ela,person
Ginat,person,FATHER_OF,Tibni,person
Omri,person,FATHER_OF,Acab,person
Et-baal,person,FATHER_OF,Jezabel,person
Safat,person,FATHER_OF,Eliseo,person
Jeter,person,FATHER_OF,Amasa,person
Benjamín,person,FATHER_OF,Gera,person
