from_name,from_type,relation,to_name,to_type
Hadar,person,SPOUSE_OF,Mehetabel,person
Ruth,person,SPOUSE_OF,BOAT,people
The,person,SPOUSE_OF,Pharaoh,person
Sapphira,person,SPOUSE_OF,Jerusalem,concept
Jacob,person,SPOUSE_OF,Laban,person
Tobias,person,SPOUSE_OF,Sara,person
Jehoiada,person,SPOUSE_OF,Jehoshabeath,person
King Uzziah,person,SPOUSE_OF,Jerushah,person
Moses,person,SPOUSE_OF,Midian,person
David,person,SPOUSE_OF,BATH-SHEBA,people
Ezra,person,SPOUSE_OF,Jehudiah,person
Jehoiakim,person,SPOUSE_OF,Jerusalem,concept
Manasseh,person,SPOUSE_OF,Jotbah,people
Rehoboam,person,SPOUSE_OF,GIBEAH,people
Merab,person,SPOUSE_OF,Adriel,person
Joseph,person,SPOUSE_OF,On,person
Tobias,person,SPOUSE_OF,Sarah,person
Salome,person,SPOUSE_OF,John,person
Hannah,person,SPOUSE_OF,Elkanah,person
Huldah,person,SPOUSE_OF,Shallum,person
Peninnah,person,SPOUSE_OF,An Ephraimite,person
David,person,SPOUSE_OF,Talmai,person
Herod,person,SPOUSE_OF,Mariamme,person
Elder Jabez Woodard,person,SPOUSE_OF,SAINT,person
Joseph Smith,person,SPOUSE_OF,Lucy Smith,person
Jerusha Smith,person,SPOUSE_OF,William Pierce,person
Mary Jane Thompson,person,SPOUSE_OF,David Taylor,person
Joseph Albert Harris,person,SPOUSE_OF,Johanna Patten,person
JOHN SMITH,person,SPOUSE_OF,Hellen Maria Fisher,person
Joseph,person,SPOUSE_OF,Sarah Ellen Richards,person
Abraham Owen Smoot,person,SPOUSE_OF,Almira Emily Hill,person
Martha ann,person,SPOUSE_OF,William Jasper Harris,person
Joseph,person,SPOUSE_OF,Mary Taylor Schwartz,person
Martha,person,SPOUSE_OF,Hellen Fisher Smith,person
Francis,person,SPOUSE_OF,Mary Jane Dilworth,person
Elias Smith,person,SPOUSE_OF,Lucy Brown,person
Albert Bailey Griffin,person,SPOUSE_OF,Abigail Varney,person
William Walton Burton,person,SPOUSE_OF,Rachel Fielding,person
Orson Omer Heath,person,SPOUSE_OF,Josephine Fielding,person
David Asael Smith,person,SPOUSE_OF,Emily Jenkins,person
Heber Chase Rich Smith,person,SPOUSE_OF,Leileth Nelson,person
Jesse Kimball Smith,person,SPOUSE_OF,Louise May Anderson,person
John,person,SPOUSE_OF,Mercy Dennis,person
John Fife Bowman,person,SPOUSE_OF,Edna Melissa Smith,person
Harry Walter Startup,person,SPOUSE_OF,Martha Artimissa Harris,person
WILLIAM,person,SPOUSE_OF,Ellen Fielding,person
Rev,person,SPOUSE_OF,Ann Fielding,person
Joseph Nelson,person,SPOUSE_OF,Leonora Smith,person
Albert Westley Davis,person,SPOUSE_OF,Melissa Jane Lambson,person
Sarah Smith,person,SPOUSE_OF,Charles Emerson Griffin,person
George,person,SPOUSE_OF,Susan Elizabeth West,person
George,person,SPOUSE_OF,Bathsheba Wilson Bigler,person
Heber,person,SPOUSE_OF,Lucy Walker,person
Brigham Young,person,SPOUSE_OF,Aunt Zina,person
Peter Whitmer Sr,person,SPOUSE_OF,Mary Musselman Whitmer,person
Olof Wicklund,person,SPOUSE_OF,Ella,person
John Russell,person,SPOUSE_OF,Laura Russell,person
Levi Jones,person,SPOUSE_OF,Sarah Zolide Reed Jones,person
John Russell,person,SPOUSE_OF,Laura Ann Spencer,person
Latter-day Saint,person,SPOUSE_OF,Phoebe Woodruff,person
Thomas Marsh,person,SPOUSE_OF,Elizabeth Marsh,person
Lorenzo,person,SPOUSE_OF,Harriet Page Wheeler Young,person
Brigham Young,person,SPOUSE_OF,Clarissa Decker Young,people
Heber,person,SPOUSE_OF,Ellen Saunders Kimball,person
Joseph Smith,person,SPOUSE_OF,Emma,person
Joseph Smith,person,SPOUSE_OF,Emma Smith,person
Don Carlos Smith,person,SPOUSE_OF,Smith,person
Elder Wm,person,SPOUSE_OF,Caroline Grant,person
Dr,person,SPOUSE_OF,Sister Jennetta Richards,people
Odin,people,SPOUSE_OF,Frigga,person
Holder,person,SPOUSE_OF,Freya,person
President John Taylor,person,SPOUSE_OF,Leonora Cannon Taylor,person
Bishop,concept,SPOUSE_OF,Mary Woolley,person
Associate Justice,people,SPOUSE_OF,Waite,person
Rebecca,person,SPOUSE_OF,Jacob,person
Newel Knight,person,SPOUSE_OF,Sister Knight,person
JOSEPH KNIGHT,person,SPOUSE_OF,Sister Polly Knight,people
Newel,person,SPOUSE_OF,Lydia,person
