neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:824,John 17:10,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:825,Titus 1:4,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:841,John 10:12–13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:842,Mosiah 2:10–19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:855,Luke 23:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:856,John 6:2,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:857,John 12:37.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:875,Alma 42:11,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:878,James 5:1,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:898,Jonah 3:2,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:899,Luke 9:2,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:903,D&C 33:8,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:917,Mark 10:34,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:919,Luke 14:29,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:920,Luke 23:11,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:926,Luke 8:6,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:927,Jacob 5:18,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:933,John 2:14,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:937,Mark 12:41,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:938,Luke 22:5.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:950,Song 6:10,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:986,Mosiah 12:21,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:992,D&C 42:45,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:996,Luke 7:32,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1021,Luke 23:19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1029,John 6:41,person,scripture_ref
