name,cat,reason,degree,fam,cooc,mentions
1932- 1972,5,numeric_only,33,0,15,1
"September 23, 1838",1,clean,56,0,25,1
1846–54,5,numeric_only,117,0,43,1
The Utah War,1,clean,104,0,64,2
about a week ahead,1,clean,25,0,7,1
13:12â15,3,short_scripture,49,0,34,1
Spring 1979,1,clean,457,0,229,6
27–44,5,numeric_only,157,0,60,2
"March 17, 1884",1,clean,84,0,43,1
1:45–46,5,numeric_only,70,0,25,1
past-25-age,4,single_lowercase,17,0,9,1
an early age in 1841,1,clean,40,0,19,1
"March, 1909",1,clean,9,0,5,1
"May 4, 1942",1,clean,144,0,80,1
Scarcely a century,1,clean,19,0,14,1
November 2004,1,clean,586,0,298,12
"15, 68",1,clean,47,0,17,1
"June 19, 1853",1,clean,47,0,24,2
Tebeth,1,clean,67,0,52,1
only October 1831,1,clean,29,0,17,1
October 1879,1,clean,631,0,319,10
Wednesday nights,1,clean,29,0,18,1
the culminating years,1,clean,102,0,54,1
the end of 1998,1,clean,68,0,35,2
taught so many years before,1,clean,25,0,13,1
Isaiah 56:3–5,1,clean,32,0,16,2
"Jan. 9, 2011",1,clean,145,0,102,1
1893–2005,5,numeric_only,215,0,99,2
"November 19 and December 18, 1833",1,clean,79,0,42,1
1Ch 8:36,1,clean,94,0,33,3
2:3,5,numeric_only,1,0,0,1
almost every quarter,1,clean,74,0,38,2
late in the afternoon,1,clean,468,0,264,17
5:13-15,5,numeric_only,146,0,109,3
the 8th century,1,clean,1146,0,593,31
the Two-Hundred Year Scholarly Debate,1,clean,72,0,36,1
Sometime early Sunday,1,clean,38,0,15,1
8-13,5,numeric_only,16,0,6,1
44–47,5,numeric_only,583,0,361,7
Apr. 1976,1,clean,453,0,316,15
153â55,1,clean,115,0,45,1
the summer of 1870,1,clean,187,0,105,6
"October 13, 1873",1,clean,39,0,14,1
early-morning hour,1,clean,45,0,26,2
"19:12,Jeremiah 19:13,Jeremiah 19:14",1,clean,52,0,29,1
this joyous season of the year,1,clean,18,0,12,1
Mosiah 11:23–24,3,scripture_ref,44,0,33,2
19:10 . 13,5,numeric_only,49,0,33,0
the days of Shem,1,clean,68,0,49,2
20:14-37,5,numeric_only,0,0,0,0
Far West Presidency,1,clean,69,0,25,1
81]D&C 82:13–14,1,clean,95,0,50,1
nine more years,1,clean,60,0,34,3
early April 1998,1,clean,35,0,25,1
"April 25th, 1834",1,clean,41,0,16,1
2Sa 21:12-14,1,clean,0,0,0,0
5:36,5,numeric_only,1477,0,903,43
4:36â7,3,short_scripture,50,0,22,1
"Thursday, April 30",1,clean,9,0,4,1
April 2.--F.,1,clean,41,0,18,1
"July 25, 1987",1,clean,94,0,57,1
Homemaking,1,clean,23,0,15,1
"June 25, 1836",1,clean,17,0,10,1
early 2005,1,clean,56,0,42,1
Jg 4:18,1,clean,74,0,34,1
46]Strack,1,clean,95,0,39,1
sixteenth century,1,clean,63,0,26,2
the summer of 1829,1,clean,487,0,286,13
- Sunday,5,starts_nonword,88,0,35,1
"Mar. 4, 1961",1,clean,94,0,56,1
early morning hours,1,clean,8,0,6,1
about 9 a.m.,1,clean,383,0,196,7
35]Davies,1,clean,73,0,32,1
"Nov. 9, 1854",1,clean,67,0,32,1
1Ch 6:17,1,clean,141,0,66,2
the New Testament: A Handbook,1,clean,90,0,45,1
Pronunciation 6,1,clean,1,0,0,1
about the year 1856,1,clean,52,0,19,1
August 2005,1,clean,700,0,400,23
the first 36 years,1,clean,67,0,28,1
"13:34,35",3,short_scripture,1,0,0,1
11Witherington,1,clean,76,0,38,1
"Aug. 8, 1858",1,clean,125,0,47,1
"January 26, 2000",1,clean,57,0,38,1
more than 50 years of age,1,clean,47,0,21,1
"June 25, 1942",1,clean,74,0,48,1
2Es 8:52,1,clean,134,0,76,2
The Second Coming of Jesus,1,clean,48,0,31,1
6:00 p.m. - Evening,1,clean,46,0,42,1
491n9,1,clean,72,0,37,1
1871â72,1,clean,141,0,68,1
the Christmas season last year,1,clean,44,0,28,1
just 16 years old,1,clean,50,0,20,2
"May 10, 1841",1,clean,55,0,24,1
1:68–70,5,numeric_only,88,0,57,2
Tithing Day,1,clean,88,0,41,1
Isa 41:19 and Isa 60:13,3,scripture_ref,1,0,0,1
six thousand years ago,1,clean,61,0,37,3
19]Faust,1,clean,80,0,39,1
18:1–16,5,numeric_only,37,0,22,1
6:30 every weekday morning,1,clean,18,0,12,1
the end of 1975,1,clean,101,0,68,2
a last-days,1,clean,31,0,21,1
Quarterly 11,1,clean,293,0,135,2
12:37:,5,numeric_only,21,0,13,1
11.--At six a.m.,1,clean,75,0,12,1
the self same day,1,clean,33,0,13,1
the fifth week,1,clean,71,0,43,3
