entity_id,name,entity_type,reason
248768,"about 7,600 kilometers",object,measurement
248772,D&C 1:17–24,people,scripture_ref
248773,133:57–58 ###,object,markdown_heading
248794,62-year,period,measurement
248815,"the 17th day of March, 1842",period,measurement
248817,46:8–9 ###,object,markdown_heading
248883,5:10–12 ###,object,markdown_heading
248915,James 2:26]—in,person,scripture_ref
248929,59:9–12 ###,object,markdown_heading
248938,John 8:12–18,person,scripture_ref
248941,Nephi 3:5–15,concept,scripture_ref
248959,128:19–22 ###,object,markdown_heading
248977,Jacob 4:1–4,person,scripture_ref
248980,20:8–12 ###,object,markdown_heading
249043,200-pound,object,measurement
249045,## Courtship and Marriage,object,markdown_heading
249048,160-kilometer,object,measurement
249049,"the 26th day of April, 1898",period,measurement
249050,## Heeding,object,markdown_heading
249071,## Trials,object,markdown_heading
249106,just 17 days,period,measurement
249159,D&C 6:22–23,people,scripture_ref
249182,Mosiah 18:17–29,person,scripture_ref
249209,"some 1,500 miles",object,measurement
249220,Mark 16:15–20,person,scripture_ref
249221,Alma 26:1–9,person,scripture_ref
249305,Jeremiah 31:12,person,scripture_ref
249306,Psalm 1:5,person,scripture_ref
249307,Ezekiel 34:11–13,person,scripture_ref
249312,Revelation 21:2,people,scripture_ref
249317,Revelation 21:1–27,people,scripture_ref
249357,Hebrews 6:1,concept,scripture_ref
249375,John 5:29,period,scripture_ref
249397,Revelation 7:13–14,person,scripture_ref
249418,John 17:11–23,person,scripture_ref
249421,John 8:17–19,person,scripture_ref
249464,Genesis 1:3,concept,scripture_ref
249471,Ezekiel 47:1–9],concept,scripture_ref
249479,Jeremiah 3:17,person,scripture_ref
249480,Ezekiel 21:27,concept,scripture_ref
249486,D&C 29:9–25,people,scripture_ref
249530,D&C 88:127–41,people,scripture_ref
249534,Nephi 28:29–31,concept,scripture_ref
249535,D&C 88:118 Notes 1,people,scripture_ref
249554,Revelation 11:15],concept,scripture_ref
249556,Matthew 11:30],person,scripture_ref
249558,Psalm 133:1–3,person,scripture_ref
249563,John 17:6–26,person,scripture_ref
249585,more than 900 miles,object,measurement
249614,Matthew 13:10–12,person,scripture_ref
249620,Matthew 13:36–38,person,scripture_ref
249623,Matthew 13:52,person,scripture_ref
249652,Helaman 10:4–10,period,scripture_ref
249653,addenda,place,lowercase_token
249707,Alma 26:26–37,people,scripture_ref
418972,the 38th year,period,measurement
249780,[Lyman,person,leading_punct
249799,Psalms 46:7,person,scripture_ref
249804,Mosiah 23:21–24,period,scripture_ref
249824,Matthew 10:28,person,scripture_ref
249847,D&C 46:1–33,people,scripture_ref
249871,Romans 12:19,concept,scripture_ref
249880,D&C 64:9–11 Notes 1,people,scripture_ref
249889,Isaiah 42:7,concept,scripture_ref
249893,D&C 138:11–37 Notes 1,people,scripture_ref
249911,D&C 124:25–28,people,scripture_ref
249928,meek,place,lowercase_token
249934,Mosiah 4:14–16,person,scripture_ref
249944,the year 1819,period,measurement
250022,about 400 yards,object,measurement
250097,James 5:17–18,person,scripture_ref
250099,Mormon 9:31 Notes 1,people,scripture_ref
250163,about 125 miles,object,measurement
250164,20-mile,object,measurement
250168,D&C 1:31–33,people,scripture_ref
250180,Matthew 3:5–6,person,scripture_ref
250183,Matthew 3:1–17,person,scripture_ref
250184,Matthew 3:43–46 Notes 1,person,scripture_ref
250204,Matthew 3:43,person,scripture_ref
250205,John 10:1–2,person,scripture_ref
250219,Gen. 1:26,period,scripture_ref
250225,Ephesians 4:11–12,concept,scripture_ref
250254,D&C 46:8–33 Notes 1,people,scripture_ref
250334,#### Restoration,object,markdown_heading
250340,D&C 52:3–5,people,scripture_ref
250419,Jeremiah 1:5–6,person,scripture_ref
250438,85-year-old,period,measurement
250465,Alma 1:29–30,person,scripture_ref
250466,Moroni 7:44–48 Notes 1,people,scripture_ref
250471,42-day,period,measurement
250498,Psalm 100:2,person,scripture_ref
250562,John 13:13–17,person,scripture_ref
250563,D&C 46:7–11,people,scripture_ref
250601,Joshua 6,person,scripture_ref
250602,Mark 16:16.] Likewise,person,scripture_ref
250610,Leviticus 4:22–35,people,scripture_ref
250649,lands,place,lowercase_token
250653,Jacob 2:13–19,person,scripture_ref
250666,Luke 6:36–38,person,scripture_ref
250673,about the year 1832,period,measurement
250677,fault,people,lowercase_token
250710,Mosiah 5:1–4,place,scripture_ref
250732,Alma 5:15–16,person,scripture_ref
250747,Genesis 22:1–14,concept,scripture_ref
250833,the year 1837,period,measurement
250947,## Videos ## Related Talks Notes 1,object,markdown_heading
250958,—day,period,leading_punct
251013,Helaman 3:27,period,scripture_ref
251042,Nephi 14:21,concept,scripture_ref
251045,John 15:26]—will,person,scripture_ref
251084,Helaman 13:22,concept,scripture_ref
251085,Nephi 33:3,concept,scripture_ref
251086,Nephi 18:21,concept,scripture_ref
251107,Exodus 31:12–13].,concept,scripture_ref
251122,Psalm 16:8,person,scripture_ref
251173,Peter 1:4,concept,scripture_ref
251206,### Mortality,object,markdown_heading
251207,Nephi 27:13–22,concept,scripture_ref
251231,D&C 29:8–11 Notes 1,people,scripture_ref
251246,Exodus 20:15,concept,scripture_ref
251247,Daniel 1–2,person,scripture_ref
251261,totalitarian,people,lowercase_token
251266,D&C 130:20–21 Notes 1,people,scripture_ref
251276,## Suggestions for Study and Teaching Consider,object,markdown_heading
251288,Alma 37:14–16,person,scripture_ref
251301,Exodus 31:17,concept,scripture_ref
251328,D&C 132:7–21 Notes 1,people,scripture_ref
251338,D&C 68:25–28 Notes 1,people,scripture_ref
251365,Alma 56:41–48,person,scripture_ref
251413,Matthew 23:29–30,person,scripture_ref
251426,Alma 26:1–16,people,scripture_ref
251427,D&C 84:88 Notes 1,people,scripture_ref
251463,### Abandonment,object,markdown_heading
251502,Moroni 10:4–7,period,scripture_ref
251524,Matthew 18:21–22.,person,scripture_ref
251525,Matthew 5:43–48,person,scripture_ref
251549,## Heritage Spencer,object,markdown_heading
251563,## Missionary Service,object,markdown_heading
251567,## Marriage and Family,object,markdown_heading
251576,29-year-old,period,measurement
251620,John 16:33],person,scripture_ref
251631,Matthew 5:44–46,person,scripture_ref
251640,James 1:1–16,person,scripture_ref
251641,Nephi 15:23–25,concept,scripture_ref
251642,1:12–22 ###,object,markdown_heading
251671,Mark 16:20,concept,scripture_ref
251672,Jeremiah 8:20,concept,scripture_ref
251679,123:11–17 ###,object,markdown_heading
251692,Matthew 21:12–13,person,scripture_ref
251694,110:7–8 ###,object,markdown_heading
251709,10–12 ###,object,markdown_heading
251723,132:18–19 ###,object,markdown_heading
251733,88:77–80 ###,object,markdown_heading
251752,Matthew 19:16–24,person,scripture_ref
251753,Mark 10:17–25,person,scripture_ref
251777,James 3:2–6,person,scripture_ref
251778,Alma 24:17–19,person,scripture_ref
251789,Mosiah 2:19–22,person,scripture_ref
251801,27:2 ###,object,markdown_heading
251830,Isaiah 30:21,concept,scripture_ref
251832,31:11 ###,object,markdown_heading
251842,John 17:1–26,person,scripture_ref
251843,121:1–8 ###,object,markdown_heading
251851,Nephi 28:22,concept,scripture_ref
251877,Joshua 1:5–7,person,scripture_ref
251878,Alma 53:18–21,person,scripture_ref
251879,128:22 ###,object,markdown_heading
251898,122:5–9 ###,object,markdown_heading
251946,## University,object,markdown_heading
251957,1965—10 years,period,measurement
251997,### Frances,object,markdown_heading
252075,Jacob 2:13–21,person,scripture_ref
252095,canoe,place,lowercase_token
252118,Ezekiel 37:15–28,person,scripture_ref
252147,Alma 37:1–9,person,scripture_ref
252181,Alma 15:1–12,person,scripture_ref
252200,Helaman 15:7–8,period,scripture_ref
252201,Moroni 7:20–33,people,scripture_ref
252303,Alma 7:14–25,person,scripture_ref
252335,Mark 8:36–37,person,scripture_ref
252338,Matthew 6:33,concept,scripture_ref
252365,Matthew 25:2–12,person,scripture_ref
252367,Matthew 24:22,person,scripture_ref
252392,[George] Teasdale,person,leading_punct
252396,Alma 13:1–20,person,scripture_ref
252412,Nephi 31:3,concept,scripture_ref
252426,Galatians 3:17–24,people,scripture_ref
252473,his 91 years,period,measurement
252479,Moroni 8:12–19,people,scripture_ref
252512,D&C 4,people,scripture_ref
252559,"9,805 miles",object,measurement
252561,## Continuing Missionary Service,object,markdown_heading
252564,12-foot,object,measurement
252570,[John] Taylor,person,leading_punct
252592,Timothy 3:1–5,person,scripture_ref
252595,John 14:28–31,person,scripture_ref
252602,Peter 5:7,person,scripture_ref
252603,John 1:7</a>,person,html_fragment
252604,Nephi 10:6</a>,person,html_fragment
252605,"=eng"">God the Father</a>",people,html_fragment
