name_en,name_es,gender,testament,description,meaning
Aaron,Aarón,Male,Both,brother of Moses (EXO 4:14) and Levitical priest (EXO 28:1),a teacher; lofty; mountain of strength
Abaddon,Abadón,Male,NT,"king over the locusts of Revelation 9, the angel of the abyss (REV 9:11)",the destroyer
Abagtha,Abagtha,Male,Both,one of the seven eunuchs who served in the presence of King Ahasuerus (EST 1:10),father of the wine-press
Abda,Abda,Male,Both,father of Adoniram (1KI 4:6),a servant; servitude
Abdeel,Abdeel,Male,OT,father of Shelemiah_6 (JER 36:26),a vapor; a cloud of God
Abdi,Abdi,Male,OT,son of Malluch (1CH 6:44),my servant
Abdiel,Abdiel,Male,OT,"son of Guni (1CH 5:15), Gadite (1CH 5:11)",servant of God
Abdon,Abdón,Male,Both,son of Hillel who judged Israel for eight years (JDG 12:13),servant; cloud of judgment
Abel,Abel,Male,Both,"son of Adam(GEN 4:2), first person murdered (GEN 4:8)",a city; mourning
Abi,Abi,Female,OT,mother of Hezekiah (2KI 18:2),my father
Abi-albon,Abi-albon,Male,Both,"the Arbathite, twentieth of ""the thirty"" of David's men (2SA 23:31)",most intelligent father
Abiah,Abías,Male,Both,The second son of Samuel ([1 Sam,the Lord is my father
Abiasaph,Abiasaph,Male,OT,son of Korah (EXO 6:24),consuming father; gathering
Abiathar,Abiatar,Male,Both,"son of Ahimelech, the priest (1SA 22:20), counselor to David (1CH 27:34)",excellent father; father of the remnant
Abida,Abida,Male,Both,son of Midian and grandson of Abraham through Keturah (GEN 25:4),
Abidan,Abidan,Male,Both,head of the tribe of Benjamin during the census (NUM 1:11),father of judgment
Abiel,Abiel,Male,OT,"(grand?)father of Kish (1SA 9:1), (great?) grandfather of King Saul",God my father
Abiezer,Abiezer,Male,Both,"the Anathothite (2SA 23:27), twelfth of ""the thirty"" of David's men",father of help
Abigail,Abigail,Female,Both,the Carmelitess (1SA 25:3),the father's joy
Abihail,Abihail,Male,OT,father of Zuriel (NUM 3:35),the father of strength
Abihu,Abiú,Male,Both,"son of Aaron (EXO 6:23), died for offering strange fire to the LORD (NUM 3:4)",he is my father
Abihud,Abihud,Male,Both,son of Bela (1CH 8:3),father of praise; confession
Abijah,Abías,Male,Both,second son of Samuel (1SA 8:2),the Lord is my father
Abijam,Abijam,Male,OT,"King of Judah, son of Rehoboam (1KI 14:31) [Abijah in 2CH 12:16]",father of the sea
Abimael,Abimael,Male,Both,son of Joktan (GEN 10:28),a father sent from God
Abimelech,Abimelec,Male,Both,King of Gerar who took Sarah (GEN 20:2),father of the king
Abinadab,Abinadab,Male,Both,the ark of the stored was kept in his house in Kiriath-jearim (1SA 7:1),"father of a vow, or of willingness"
Abinoam,Abinoam,Male,Both,father of Barak (JDG 4:6),father of beauty
Abiram,Abiram,Male,Both,rebelled against Moses with Korah (NUM 16:1),high father; father of deceit
Abishag,Abishag,Female,Both,"the Shunammite, David's nurse (1KI 1:3-4)",ignorance of the father
Abishai,Abisai,Male,Both,"son of Zeruiah and Joab's brother (1SA 26:6), chief of ""the thirty"" of David's men (2SA 23:18)",the present of my father
Abishalom,Abishalom,Male,Both,father of Maacah the mother of Abijam (1KI 15:2),father of peace
Abishua,Abishua,Male,Both,son of Phinehas (1CH 6:4),father of salvation
Abishur,Abishur,Male,Both,son of Shammai (1CH 2:28),father of the wall; father of uprightness
Abital,Abital,Female,OT,wife (concubine?) of King David (2SA 3:4),the father of the dew; or of the shadow
Abitub,Abitub,Male,OT,son of Shaharaim by Hushim (1CH 8:11),father of goodness
Abiud,Abiud,Male,NT,A descendant of Zerubbabel and father of Eliakim ([Matt,father of praise
Abner,Abner,Male,OT,captain of Saul's army and Saul's uncle (1SA 14:50),father of light
Abraham,Abraham,Male,OT,"Father of a multitude, son of Terah, named ([Gen",father of a great multitude
Abram,Abram,Male,OT,son of Terah (GEN 11:26),high father
Absalom,Absalón,Male,OT,third-born son of King David (2SA 3:3),father of peace
Achaicus,Achaicus,Male,NT,Paul rejoiced over him (1CO 16:17),a native of Achaia; sorrowing; sad
Achan,Acán,Male,OT,took forbidden things from Jericho (JOS 7:1),"or Achar, he that troubleth"
Achbor,Achbor,Male,OT,father of Baal-hanan (GEN 36:38),a rat; bruising
Achim,Achim,Male,NT,son of Zadok in the lineage of the Messiah (MAT 1:14),preparing; revenging; confirming
Achish,Achish,Male,Both,King of Gath (1SA 21:10) before whom David feigned madness,thus it is; how is this
Achsa,Achsa,Female,Unknown,,
Achsah,Achsah,Female,OT,daughter of Caleb (JOS 15:16),adorned; bursting the veil
Adah,Adah,Female,Both,wife of Lamech (GEN 4:19),an assembly
Adaiah,Adaías,Male,OT,"of Bozkath, father of Jedidah (2KI 22:1)",the witness of the Lord
Adalia,Adalia,Male,OT,son of Haman (EST 9:8),
Adam,Adán,Male,NT,first man (1CO 15:45),earthy; red
Adbeel,Adbeel,Male,Both,third-born son of Ishmael (GEN 25:13),"vapor, or cloud of God"
Addar,Addar,Male,OT,"Ample, splendid, son of Bela ([1 Chr",
Addi,Addi,Male,NT,in the lineage of Messiah (LUK 3:28),my witness; adorned; prey
Ader,Ader,Male,Unknown,,
Adiel,Adiel,Male,Both,"??? (1CH 4:36), Simeonite (1CH 4:24)",the witness of the Lord
Adin,Adin,Male,OT,his sons (descendants) returned to Judah after captivity (EZR 2:15),"Adina, adorned; voluptuous; dainty"
Adina,Adina,Male,OT,son of Shiza (1CH 11:42),
Adino,Adino,Male,Both,"The Eznite, one of David’s mighty men ([2 Sam",
Adlai,Adlai,Male,OT,father of Shaphat (1CH 27:29),my witness; my ornament
Admatha,Admatha,Male,Both,one of the seven princes of Persia and Media (EST 1:14),a cloud of death; a mortal vapor
Admin,Admin,Male,NT,in the lineage of Messiah (LUK 3:31),
Adna,Adna,Male,OT,descendant of Pahath-moab who had married a foreign wife (EZR 10:30),pleasure; delight
Adnah,Adnah,Male,Both,captain of thousands who defected to David (1CH 12:20),eternal rest
Adoni-bezek,Adoni-bezek,Male,Both,the lord of Bezek (JDG 1:5) whose thumbs and big toes were cut off (JDG 1:6),the lightning of the Lord; the Lord of lightning
Adoni-zedek,Adoni-zedek,Male,Both,King of Jerusalem during the time of the conquest of the Land (JOS 10:1),justice of the Lord; lord of justice
Adonijah,Adonías,Male,Both,fourth-born son of King David (2SA 3:4),the Lord is my master
Adonikam,Adonikam,Male,Both,his sons (descendants) returned to Judah after captivity (EZR 2:13),the Lord is raised
Adoniram,Adoniram,Male,Both,over the men subject to forced labor (1KI 4:6),my Lord is most high; Lord of might and elevation
Adoram,Adoram,Male,Both,over the forced labor (2SA 20:24),their beauty; their power
Adrammelech,Adrammelec,Male,Both,killed King Sennacherib of Assyria (2KI 19:37),"the cloak, glory, grandeur or power of the king"
Adriel,Adriel,Male,Both,the Meholathite (1SA 18:19),the flock of God
Aeneas,Aeneas,Male,Unknown,"bedridden eight years, paralyzed, and healed by Peter (9:33)",praised; praiseworthy
Agabus,Ágabo,Male,NT,a prophet from Jerusalem (ACT 11:28),a locust; the father's joy or feast
Agag,Agag,Male,Both,the King of Israel will be higher than him (NUM 24:7),roof; upper floor
Agee,Agee,Male,Both,"a Hararite (Harorite in 1CH 11:27), father of Shammah (2SA 23:11)",a valley; deepness
Agrippa,Agripa,Male,NT,the king who visited Festus  (ACT 25:13),one who causes great pain at his birth
Agur,Agur,Male,Both,"son of Jakeh, the oracle (PRO 30:1)",stranger; gathered together
Ahab,Acab,Male,Both,son of Omri and King of Israel (1KI 16:28),"uncle, or father's brother"
Aharhel,Aharhel,Male,OT,son of Harum (1CH 4:8),another host; the last sorrow; a brother's sheep
Ahasbai,Ahasbai,Male,Both,"father of Eliphelet, son of the Maacathite (2SA 23:34)",trusting in me; a grown-up brother
Ahasuerus,Asuero,Male,Both,King of Persia (EZR 4:6),prince; head; chief
Ahaz,Acaz,Male,Both,"King of Judah, son of Jotham (2KI 15:38)",one that takes or possesses
Ahaziah,Ocozías,Male,Both,King of Israel and son of Ahab (1KI 22:40),seizure; vision of the Lord
Ahban,Ahban,Male,OT,son of Abishur (1CH 2:29),
Aher,Aher,Male,Unknown,,
Ahi,Ahi,Male,OT,"son of Abdiel (1CH 5:15), Gadite (1CH 5:11)",my brother; my brethren
Ahiah,Ahías,Male,OT,non-Levite leader (NEH 10:14),brother of the Lord
Ahiam,Ahiam,Male,Both,"son of Sharar (2SA 23:33), twenty-sixth of ""the thirty"" of David's men",mother's brother; brother of a nation
Ahian,Ahian,Male,OT,son of Shemida (1CH 7:19),brother of wine
Ahiezer,Ahiezer,Male,Both,head of the tribe of Dan during the census (NUM 1:12),brother of assistance
Ahihud,Ahihud,Male,Both,the leader of the tribe of Asher (NUM 34:27) to apportion the Land (NUM 34:17),"brother of vanity, or of darkness, or of joy, or of praise; witty brother"
Ahijah,Ahiías,Male,OT,"priest at Shiloh, nephew of Ichabod (1 SA 14:3), and prophet (1KI 11:29)",same with Ahiah
Ahikam,Ahikam,Male,Both,son of Shaphan (2KI 22:12),a brother who raises up or avenges
Ahilud,Ahilud,Male,OT,father of Jehoshaphat (2SA 6:16),"a brother born, or begotten"
Ahimaaz,Ahimaaz,Male,Both,father of Ahinoam (1SA 14:50),a brother of the council
Ahiman,Ahiman,Male,Both,descendant of Anak (NUM 13:22),brother of the right hand
Ahimelech,Ahimelec,Male,Both,the priest of Nob (1SA 21:1),my brother is a king; my king's brother
Ahimoth,Ahimoth,Male,OT,son of Elkanah_4 (1CH 6:25),brother of death
Ahinadab,Ahinadab,Male,Both,"one of Solomon's twelve deputies (1KI 4:7), in Mahanaim (1KI 4:14)",a willing brother; brother of a vow
Ahinoam,Ahinoam,Female,Both,wife of Saul (1SA 14:50),beauty of the brother; brother of motion
Ahio,Ahio,Male,Both,son of Abinadab who led the ark on a cart (2SA 6:3),his brother; his brethren
Ahira,Ahira,Male,Both,head of the tribe of Naphtali during the census (NUM 1:15),brother of iniquity; brother of the shepherd
Ahiram,Ahiram,Male,Unknown,,"brother of craft, or of protection"
Ahisamach,Ahisamach,Male,OT,father of Oholiab (EXO 31:6),brother of strength
Ahishahar,Ahishahar,Male,OT,son of Bilhan (1CH 7:10),
Ahishar,Ahishar,Male,Both,over Solomon's household (1KI 4:6),brother of a prince; brother of a song
Ahithophel,Ahitofel,Male,Both,"David's counselor, the Gilonite (2SA 15:12, 1CH 27:32)",brother of ruin or folly
Ahitub,Ahitub,Male,Both,"son of Phinehas, grandson of Eli, and father of Ahijah (1SA 14:3)",brother of goodness
Ahlai,Ahlai,Male,OT,son of Sheshan (1CH 2:31),beseeching; sorrowing; expecting
Ahoah,Ahoah,Male,Both,son of Bela (1CH 8:4),a live brother; my thorn or thistle
Aholah,Aholah,Female,Unknown,,his tabernacle; his tent
Aholiab,Aholiab,Male,Both,"Tent of the father, an artist of the tribe of Dan, appointed to the work of preparing materials for the tabernacle ([Ex",the tent of the father
Aholibah,Aholibah,Female,NT,"My tent is in her, the name of an imaginary harlot, applied symbolically to Jerusalem, because she had abandoned the worship of the true God and given...","my tent, or my tabernacle, in her"
Aholibamah,Aholibamah,Female,Unknown,,my tabernacle is exalted
Ahumai,Ahumai,Male,OT,son of Jahath (1CH 4:2),a meadow of waters; a brother of waters
Ahuzam,Ahuzam,Male,Unknown,,their taking or possessing vision
Ahuzzam,Ahuzzam,Male,OT,son of Ashhur and Naarah (1CH 4:6),
Ahuzzath,Ahuzzath,Male,OT,adviser to Abimelech (GEN 26:26),
Ahzai,Ahzai,Male,OT,son of Meshillemoth (NEH 11:13),
Aiah,Aías,Male,OT,son of Zibeon (GEN 36:24),"vulture, raven; an isle; alas, where is it?"
Ajah,Aías,Male,Unknown,,
Akan,Akan,Male,Both,son of Ezer (GEN 36:27),
Akkub,Akkub,Male,OT,son of Elioenai (1CH 3:24),foot-print; supplanting; crookedness; lewdness
Alameth,Alameth,Male,Both,"One of the nine sons of Becher, the son of Benjamin ([1 Chr",
Alemeth,Alemeth,Male,Both,son of Becher (1CH 7:8),hiding; youth; worlds; upon the dead
Alexander,Alejandro,Male,NT,son of Simon the Cyrene (MRK 15:21),one who assists men
Allon,Allon,Male,Both,"son of Jedaiah (1CH 4:37), Simeonite (1CH 4:24)",an oak; strong
Almodad,Almodad,Male,Both,son of Joktan (GEN 10:26),measure of God
Alphaeus,Alfaeus,Male,NT,father of James the disciple (MAT 10:3),
Alvah,Alvah,Male,OT,chief of Edom (GEN 36:40),his rising up; his highness
Alvan,Alvan,Male,OT,son of Shobal (GEN 36:23),
Amal,Amal,Male,OT,son of Hotham (1CH 7:35),labor; iniquity
Amalek,Amalek,Male,Both,son of Eliphaz (GEN 36:12) and chief of Edom (GEN 36:16),a people that licks up
Amariah,Amarías,Male,Both,son of Meraioth (1CH 6:7) and father of Ahitub (1CH 6:7),the Lord says; the integrity of the Lord
Amasa,Amasa,Male,Both,set over David's army in place of Joab (2SA 17:25),sparing the people
Amasai,Amasai,Male,Both,"son of Elkanah_4 (1CH 6:25, 1CH 6:35)",strong
Amashsai,Amashsai,Male,OT,"priest, son of Azarel (NEH 11:13)",
Amasiah,Amasías,Male,OT,"son of Zichri, commander of 200,000 under Jehoshaphat (2CH 17:16)",
Amaziah,Amasías,Male,Both,"King of Judah, son of Joash (2KI 12:21)",the strength of the Lord
Ami,Ami,Male,OT,Solomon's servant (EZR 2:55),mother; fear; people
Amittai,Amittai,Male,Both,"father of Jonah, the prophet (2KI 14:25)",true; fearing
Ammiel,Ammiel,Male,Both,1 of 12 the spies- from Dan (NUM 13:12),the people of God
Ammihud,Ammihud,Male,Both,father of Elishama (NUM 1:10),people of praise
Amminadab,Amminadab,Male,Both,father of Elisheba (EXO 6:23),
Ammishaddai,Ammishaddai,Male,Both,father of Ahiezer (NUM 1:12),the people of the Almighty; the Almighty is with me
Ammizabad,Ammizabad,Male,Both,son of Benaiah (1CH 27:6),dowry of the people
Amnon,Amnón,Male,Both,firstborn son of King David (2SA 3:2),faithful and true; tutor
Amok,Amok,Male,Both,among the priests who came up with Zerubbabel (NEH 12:7),a valley; a depth
Amon,Amón,Male,Both,"the governor of Samaria (1KI 22:26, 2CH 18:25)",faithful; true
Amor,Amor,Male,OT,son of Canaan (GEN 10:15),
Amorite,Amorite,Male,Both,"Highlanders, or hillmen, the name given to the descendants of one of the sons of Canaan ([Gen",bitter; a rebel; a babbler
Amos,Amós,Male,Both,"the prophet, from among the sheepherders of Tekoa (AMO 1:1)",loading; weighty
Amoz,Amoz,Male,Both,father of Isaiah (2KI 19:2),strong; robust
Amplias,Amplias,Male,NT,A Roman Christian saluted by Paul ([Rom,large; extensive
Ampliatus,Ampliatus,Male,NT,beloved of Paul (ROM 16:8),
Amram,Amram,Male,Both,son of Kohath (EXO 6:18),an exalted people; their sheaves; handfuls of corn
Amraphel,Amrafel,Male,Both,King of Shinar (GEN 14:1),one that speaks of secrets
Amzi,Amzi,Male,OT,son of Bani (1CH 6:46),"strong, mighty"
Anah,Anah,Male,OT,son of Seir (GEN 36:20) and chief in Edom (GEN 36:29),one who answers; afflicted
Anaiah,Anaías,Male,Both,"stood on Ezra's right hand as he read from the Law (NEH 8:4),",
Anak,Anak,Male,Both,ancestor of the Anakim (NUM 13:22),a collar; ornament
Anam,Anam,Male,OT,son of Mizraim (GEN 10:13),
Anamim,Anamim,Male,Both,The name of an Egyptian tribe descended from Mizraim ([Gen,a fountain; answer; affliction
Anammelech,Anammelec,Male,NT,"One of the gods worshipped by the people of Sepharvaim, who colonized Samaria ([2 Kings 17:31](/2kgs#2Kgs",answer; poverty of the king
Anan,Anan,Male,Both,non-Levite leader (NEH 10:14),
Anani,Anani,Male,OT,son of Elioenai (1CH 3:24),a cloud; prophecy; divination
Ananiah,Ananías,Male,OT,father of Maaseiah_9 (NEH 3:23),
Ananias,Ananías,Male,NT,sold property and gave a portion to the apostles (ACT 5:1),"or Ananiah, the cloud of the Lord"
Anath,Anath,Male,OT,father of Shamgar (JDG 3:31),
Anathoth,Anathoth,Male,OT,son of Becher (1CH 7:8),"or Anath, answer; song; poverty"
Andrew,Andrés,Male,NT,brother of Simon/Peter (MAT 4:18),a strong man
Andronicus,Andronicus,Male,NT,a kinsman and fellow prisoner of Paul (ROM 16:7),a man excelling others
Aner,Aner,Male,Both,the Amorite (GEN 14:13),answer; song; affliction
Aniam,Aniam,Male,OT,son of Shemida (1CH 7:19),a people; the strength or sorrow of people
Anna,Ana,Female,NT,the prophetess (LUK 2:36),gracious; one who gives
Annas,Anás,Male,NT,high priest during John the Baptist's ministry (LUK 3:2),one who answers; humble
Anthothijah,Anthothiías,Male,OT,son of Shashak (1CH 8:24),
Antichrist,Antichrist,Male,NT,the coming one (1JN 2:18) who denies that Jesus is the Christ (1JN 2:22),an adversary to Christ
Antipas,Antipas,Male,NT,G-d's witness and faithful one (REV 2:13),"for all, or against all"
Antothijah,Antothiías,Male,Unknown,,answers or songs of the Lord; afflictions
Anub,Anub,Male,OT,son of Koz (1CH 4:8),same as Anab
Apelles,Apelles,Male,NT,the approved in Christ (ROM 16:10),exclusion; separation
Aphiah,Aphías,Male,OT,"father of Becorath (1SA 9:1), ancestor of King Saul","speaking, blowing"
Aphses,Aphses,Male,Unknown,,
Apollos,Apolos,Male,NT,an Alexandrian Jew mighty in the Scriptures (ACT 18:24),one who destroys; destroyer
Apollyon,Apolión,Male,NT,"Destruction, the Hebrew name (equivalent to the Greek Apollyon, i",a destroyer
Appaim,Appaim,Male,OT,son of Nadab (1CH 2:30),face; nostrils
Apphia,Apfia,Female,NT,Paul's sister in the faith (PHM 1:2),productive; fruitful
Aquila,Aquila,Male,NT,a Jew native of Pontus with whom Paul stayed (ACT 18:2),an eagle
Ara,Ara,Male,OT,son of Jether [Ithran] (1CH 7:38),cursing; seeing
Arad,Arad,Male,Both,son of Beriah (1CH 8:15),a wild ass; a dragon
Arah,Arah,Male,OT,son of Ulla [Jephunneh] (1CH 7:39),the way; a traveler
Aram,Aram,Male,Both,son of Shem (GEN 10:22),"highness, magnificence, one that deceives; curse"
Aran,Aran,Male,Both,son of Dishan (GEN 36:28),an ark; their curse
Araunah,Araunah,Male,Both,the Jebusite (2SA 24:16),ark; song; joyful cry
Arba,Arba,Male,Both,greatest man among the Anakim (JOS 14:15),four
Archelaus,Arquelao,Male,NT,son of Herod (MAT 2:22),the prince of the people
Archippus,Arquipo,Male,NT,reminded by Paul to take heed of the ministry received from the Lord (COL 4:17),a master of horses
Ard,Ard,Male,OT,"(grand?)son of Benjamin (GEN 46:21), son of Bela (NUM 26:40)",one that commands; he that descends
Ardon,Ardon,Male,Both,son of Cheubai [Caleb] (1CH 2:18),ruling; a judgment of malediction
Areli,Areli,Male,OT,son of Gad (GEN 46:16),the light or vision of God
Aretas,Aretas,Male,NT,the king over the ethnarch in Damascus (2CO 11:32),"agreeable, virtuous"
Argob,Argob,Male,OT,conspired with Pekah against Pekahiah (2KI 15:25),"a turf, or fat land"
Aridai,Aridai,Male,OT,son of Haman (EST 9:9),
Aridatha,Aridatha,Male,OT,son of Haman (EST 9:8),
Arieh,Arieh,Male,Both,conspired with Pekah against Pekahiah (2KI 15:25),
Ariel,Ariel,Male,Both,of Moab (2SA 23:20),altar; light or lion of God
Arioch,Arioch,Male,OT,King of Ellasar (GEN 14:1),long; great; tall
Arisai,Arisai,Male,OT,son of Haman (EST 9:9),
Aristarchus,Aristarco,Male,NT,Paul's traveling companion from Macedonia (ACT 19:29),the best prince
Aristobulus,Aristobulus,Male,NT,Paul sends greetings to his household (ROM 16:10),a good counselor
Ark,Ark,Male,OT,son of Canaan (GEN 10:15),
Arkite,Arkite,Male,OT,([Gen,
Armoni,Armoni,Male,Both,son of Saul (2SA 21:8),
Arnan,Arnan,Male,OT,son of Hananiah (1CH 3:21),
Arod,Arod,Male,Unknown,,
Arodi,Arodi,Male,OT,son of Gad (GEN 46:16),
Arpachshad,Arpachshad,Male,OT,son of Shem (GEN 10:22),
Arphaxad,Arfaxad,Male,NT,"Son of Shem, born the year after the Deluge",a healer; a releaser
Artaxerxes,Artajerjes,Male,Both,King of Persia (EZR 4:7),the silence of light; fervent to spoil
Artemas,Artemas,Male,NT,Paul might sent him to Titus (TIT 3:12),"whole, sound"
Arvad,Arvad,Male,OT,son of Canaan (GEN 10:15),
Arvadite,Arvadite,Male,Unknown,,
Arza,Arza,Male,Both,over the household at Tirzah (1Ki 16:9),
Asa,Asa,Male,Both,"King of Judah (1KI 15:9), son of incestuous relationship between Abijah and his mother, Maacah (1KI 15:10)",physician; cure
Asahel,Asahel,Male,Both,"brother of Joab and Abishai (2SA 2:18), sixth of ""the thirty"" of David's men (2SA 23:24)",creature of God
Asahiah,Asahías,Male,Both,The son of Amoz ([Isa,
Asaiah,Asaías,Male,OT,King Josiah's servant (2KI 22:12),the Lord hath wrought
Asaph,Asaph,Male,Both,father of Joah (2KI 18:18),who gathers together
Asareel,Asareel,Male,Unknown,,the beatitude of God
Asarel,Asarel,Male,OT,son of Jehallelel (1CH 4:16),
Asenath,Asenat,Female,Both,wife of Joseph (GEN 41:45),peril; misfortune
Asharelah,Asharelah,Male,OT,"son of Asaph_2 (1CH 25:2), chosen seventh by lot (1CH 25:14)",
Ashbel,Ashbel,Male,OT,son of Benjamin (GEN 46:21),an old fire
Asher,Aser,Male,OT,"eighth-born son of Jacob (GEN 30:11, GEN 35:26), son of Zilpah, Leah's handmaid",happiness
Ashhur,Ashhur,Male,OT,son of Hezron (1CH 2:24),
Ashkenaz,Ashkenaz,Male,Both,son of Gomer (GEN 10:3),a fire that spreads
Ashpenaz,Ashpenaz,Male,Both,the chief of Nebuchadnezzar's officials (DAN 1:3),
Ashriel,Ashriel,Male,Unknown,,same as Asareel
Ashtoreth,Ashtoreth,Female,NT,"The moon goddess of the Phoenicians, representing the passive principle in nature, their principal female deity; frequently associated with the name o...",
Ashur,Ashur,Male,Unknown,,who is happy; or walks; or looks
Ashvath,Ashvath,Male,OT,son of Japhlet (1CH 7:33),
Asiel,Asiel,Male,OT,"??? (1CH 4:35), Simeonite (1CH 4:24)",the work of God
Asnah,Asnah,Male,OT,temple servant (EZR 2:50),
Asnappar,Asnappar,Male,NT,"Probably the same as Assur-bani-pal (Sardanapalos of the Greeks), styled the “great and noble” ([Ezra 4:10](/ezra#Ezra",
Aspatha,Aspatha,Male,OT,son of Haman (EST 9:7),
Asriel,Asriel,Male,OT,son of Gilead (NUM 26:30-31),help of God
Asshur,Asshur,Male,OT,son of Shem (GEN 10:22),
Asshurim,Asshurim,Male,Unknown,,liers in want; beholders
Assir,Assir,Male,OT,"son of Korah (EXO 6:24, 1CH 6:22)",prisoner; fettered
Asynchritus,Asynchritus,Male,NT,Paul sends greetings to him (ROM 16:14),
Asyncritus,Asyncritus,Male,Unknown,,incomparable
Atarah,Atarah,Female,OT,wife of Jerahmeel (1CH 2:26),a crown
Ater,Ater,Male,OT,his sons (descendants) returned to Judah after captivity (EZR 2:16),left hand; shut
Athaiah,Athaías,Male,OT,"son of Uzziah, descendant of Judah who lived in Jerusalem (NEH 11:4)",the Lord's time
Athaliah,Atalía,Female,Both,"daughter of Ahab and grandaughter of Omri (2KI 8:26, 2CH 22:2))",the time of the Lord
Athlai,Athlai,Male,OT,descendant of Bebai who had married a foreign wife (EZR 10:28),my hour or time
Attai,Attai,Male,OT,son of Jarha (1CH 2:35),same as Athlai
Augustus,Augusto,Male,NT,"The cognomen of the first Roman emperor, C","increased, augmented"
Azaliah,Azalías,Male,OT,father of Shaphan (2KI 22:3),near the Lord
Azaniah,Azanías,Male,OT,father of Jeshua_8 (NEH 10:9),hearing the Lord; the Lord's weapons
Azarael,Azarael,Male,Unknown,,
Azareel,Azareel,Male,OT,A priest ([1 Chr,help of God
Azarel,Azarel,Male,Both,"the Korahite (1CH 12:6), chosen eleventh by lot (1CH 25:18)",
Azariah,Azarías,Male,Both,"son [descendant] of Zadok, served as priest (1KI 4:2) in the temple which Solomon built (1CH 6:10)",he that hears the Lord
Azaryahu,Azaryahu,Male,OT,son of Jehoshaphat (2CH 21:2),
Azaz,Azaz,Male,OT,"son of Shema (1CH 5:8), Reubenite (1CH 5:3)",strong one
Azaziah,Azazías,Male,Both,lyre-playing Levite (1CH 15:21),strength of the Lord
Azbuk,Azbuk,Male,Both,official of the district of Beth-zur and father of Nehemiah (NEH 3:16),
Azel,Azel,Male,OT,son of Eleasah (1CH 8:37),
Azgad,Azgad,Male,OT,his sons (descendants) returned to Judah after captivity (EZR 2:12),a strong army; a gang of robbers
Aziel,Aziel,Male,OT,harp-playing Levite (1CH 15:20),
Aziza,Aziza,Male,OT,descendant of Zattu who had married a foreign wife (EZR 10:27),
Azmaveth,Azmaveth,Male,Both,"the Barhumite (Baharumite 1CH 11:33), twenty-first of ""the thirty"" of David's men (2SA 23:31)",strong death; a he-goat
Azor,Azor,Male,NT,son of Eliakim in the lineage of the Messiah (MAT 1:13),a helper; a court
Azriel,Azriel,Male,OT,head of households (1CH 5:24) in Manasseh (1CH 5:23),same as Asriel
Azrikam,Azrikam,Male,OT,son of Neariah (1CH 3:23),"help, revenging"
Azubah,Azubah,Female,Both,mother of King Jehoshaphat (1KI 22:42),forsaken
Azur,Azur,Male,Both,"The father of Hananiah, a false prophet ([Jer",he that assists or is assisted
Azzan,Azzan,Male,OT,father of Paltiel (NUM 34:26),their strength
Azzur,Azzur,Male,Both,non-Levite leader (NEH 10:14),same as Azur
Baal,Baal,Male,Both,"son of Reaiah (1CH 5:5), Reubenite (1CH 5:3)",master; lord
Baal-hanan,Baal-hanan,Male,OT,"King of Edom, successor to Shaul (GEN 36:38)",
Baal-zebub,Baal-zebub,Male,NT,"Fly-lord, the god of the Philistines at Ekron ([2 Kings 1:2](/2kgs#2Kgs",god of the fly
Baalis,Baalis,Male,Both,king of the sons of Ammon (JER 40:14),a rejoicing; a proud lord
Baana,Baana,Male,OT,"one of Solomon's twelve deputies (1KI 4:7), in Taanach and Megiddo (1KI 4:12)",
Baanah,Baanah,Male,Both,commander of Ish-bosheth's military (2SA 4:2),in the answer; in affliction
Baara,Baara,Female,OT,wife of Shaharaim (1CH 8:8),a flame; purging
Baaseiah,Baaseías,Male,OT,son of Malchijah (1CH 6:40),in making; in pressing together
Baasha,Baasa,Male,Both,King of Israel (1KI 15:16),"he that seeks, or lays waste"
Bakbakkar,Bakbakkar,Male,Both,counted among the Levites carried into exile (1CH 9:15),
Bakbuk,Bakbuk,Male,OT,temple servant (EZR 2:51),
Bakbukiah,Bakbukías,Male,OT,"second among his brethren (NEH 11:17), gatekeeper (NEH 12:25)",
Balaam,Balaam,Male,Both,"from Pethor of Mesopotamia (NUM 22:5, DEUT 23:4)",the ancient of the people; the destruction of the people
Baladan,Baladan,Male,Both,father of Berodach-baladan (2KI 20:12),one without judgment
Balak,Balac,Male,Both,"Midianite prophet who worked against Israel, son of Zippor (NUM 22:2)",who lays waste or destroys
Bani,Bani,Male,Both,"the Gadite, thirty-second of ""the thirty"" of David's men (2SA 23:36)",
Bar-Jesus,Bar-Jesus,Male,NT,a Jewish false prophet (ACT 13:6),
Barabbas,Barrabás,Male,NT,notorious prisoner (MAT 27:16) set free instead of the Messiah,"son of shame, confusion"
Barachel,Barachel,Male,Both,"the Buzite, of the family of Ram (JOB 32:2)",that bows before God
Barak,Barac,Male,Both,summoned by Deborah (JDG 4:6) to defeat Jabin's army (JDG 4:15),"thunder, or in vain"
Bariah,Barías,Male,OT,son of Shecaniah (1CH 3:22),
Barkos,Barkos,Male,OT,temple servant (EZR 2:53),
Barnabas,Bernabé,Male,NT,"Son of consolation, the surname of Joses, a Levite ([Acts 4:36](/acts#Acts","son of the prophet, or of consolation"
Barsabas,Barsabas,Male,NT,Surnamed Barsabas ([Acts 1:23](/acts#Acts,son of return; son of rest
